tag,whichCollocation,collFrequency,logDice,whichType,verb,verbType,noun,nounType,isCollocation,k,verbFrequency,nounFrequency,item
1,chase dream,9354,8.1,collocation,chase,Vcoll,dream,Ncoll,1,1,592392,2910919,chase dream
2,chase dream,9354,8.1,productive,forget,Vprod1,dream,Ncoll,0,1,3162290,2910919,forget dream
3,chase dream,9354,8.1,productive,remember,Vprod2,desire,Nsyn2,0,1,6425958,1943993,remember desire
4,chase dream,9354,8.1,synonym,pursue,Vsyn1,desire,Nsyn2,1,1,1806874,1943993,pursue desire
5,chase dream,9354,8.1,synonym,hunt,Vsyn2,desire,Nsyn2,-1,1,528912,1943993,hunt desire
6,break promise,30369,8.2,productive,recall,Vprod2,vow,Nsyn1,0,1,1606318,171728,recall vow
7,break promise,30369,8.2,synonym,shatter,Vsyn1,vow,Nsyn1,-1,1,235867,171728,shatter vow
8,break promise,30369,8.2,synonym,smash,Vsyn2,vow,Nsyn1,0,1,298943,171728,smash vow
9,break promise,30369,8.2,synonym,break,Vcoll,oath,Nsyn2,1,1,6644744,327104,break oath
10,tackle problem,57445,7.9,productive,acknowledge,Vprod2,problem,Ncoll,0,1,1550574,15597082,acknowledge problem
11,tackle problem,57445,7.9,productive,address,Vsyn1,player,Nprod2,0,1,5143795,9944593,address player
12,tackle problem,57445,7.9,productive,manage,Vsyn2,player,Nprod2,0,1,6998498,9944593,manage player
13,tackle problem,57445,7.9,synonym,tackle,Vcoll,difficulty,Nsyn1,1,1,913224,2005111,tackle difficulty
14,abandon plan,15406,6.8,productive,desert,Vsyn1,city,Nprod1,0,1,192659,12371211,desert city
15,abandon plan,15406,6.8,productive,forsake,Vsyn2,city,Nprod1,0,1,96152,12371211,forsake city
16,abandon plan,15406,6.8,productive,abandon,Vcoll,car,Nprod2,0,1,1273968,9610218,abandon car
17,abandon plan,15406,6.8,productive,adjust,Vprod1,strategy,Nsyn2,0,1,1648110,5297010,adjust strategy
18,fight poverty,15406,6.8,productive,fight,Vcoll,enemy,Nprod1,0,1,4220818,2671984,fight enemy
19,fight poverty,15406,6.8,productive,see,Vprod1,disease,Nsyn1,0,1,51404934,5330891,see disease
20,fight poverty,15406,6.8,synonym,battle,Vsyn1,poverty,Ncoll,1,1,470222,1236344,battle poverty
21,fight poverty,15406,6.8,synonym,combat,Vsyn2,poverty,Ncoll,1,1,515563,1236344,combat poverty
22,catch fire,60901,9.4,collocation,catch,Vcoll,fire,Ncoll,1,1,4004699,5057358,catch fire
23,catch fire,60901,9.4,productive,start,Vprod1,fire,Ncoll,0,1,20478129,5057358,start fire
24,catch fire,60901,9.4,productive,fan,Vprod2,flame,Nsyn2,0,1,127942,743614,fan flame
25,catch fire,60901,9.4,synonym,seize,Vsyn1,flame,Nsyn2,-1,1,733804,743614,seize flame
26,catch fire,60901,9.4,synonym,grab,Vsyn2,flame,Nsyn2,-1,1,1296537,743614,grab flame
27,nurse grudge,830,7.2,productive,mock,Vprod2,greivance,Nsyn1,0,1,220824,391,mock greivance
28,nurse grudge,830,7.2,synonym,treat,Vsyn1,greivance,Nsyn1,-1,1,4190491,391,treat greivance
29,nurse grudge,830,7.2,synonym,cure,Vsyn2,greivance,Nsyn1,-1,1,564400,391,cure greivance
30,nurse grudge,830,7.2,synonym,nurse,Vcoll,resentment,Nsyn2,1,1,239694,152609,nurse resentment
31,challenge assumption,14854,8.5,productive,confirm,Vprod2,assumption,Ncoll,0,1,3109863,1000797,confirm assumption
32,challenge assumption,14854,8.5,productive,dare,Vsyn1,reader,Nprod2,0,1,552827,3235661,dare reader
33,challenge assumption,14854,8.5,productive,invite,Vsyn2,reader,Nprod2,0,1,2672271,3235661,invite reader
34,challenge assumption,14854,8.5,synonym,challenge,Vcoll,belief,Nsyn1,1,1,2116545,2271174,challenge belief
35,hold meeting,300278,9.9,productive,catch,Vsyn1,cup,Nprod1,0,1,4004699,1538197,catch cup
36,hold meeting,300278,9.9,productive,clutch,Vsyn2,cup,Nprod1,0,1,124675,1538197,clutch cup
37,hold meeting,300278,9.9,productive,hold,Vcoll,bag,Nprod2,0,1,15504718,2449702,hold bag
38,hold meeting,300278,9.9,productive,plan,Vprod1,conference,Nsyn2,0,1,5423671,4386427,plan conference
39,kick habit,7857,8.3,productive,kick,Vcoll,can,Nprod1,0,1,1415069,761036,kick can
40,kick habit,7857,8.3,productive,change,Vprod1,practice,Nsyn1,0,1,12164816,8268861,change practice
41,kick habit,7857,8.3,synonym,hit,Vsyn1,habit,Ncoll,-1,1,4802307,1174692,hit habit
42,kick habit,7857,8.3,synonym,knock,Vsyn2,habit,Ncoll,-1,1,921387,1174692,knock habit
43,shift blame,7543,8.3,collocation,shift,Vcoll,blame,Ncoll,1,1,1463676,257572,shift blame
44,shift blame,7543,8.3,productive,acknowledge,Vprod1,blame,Ncoll,0,1,1550574,257572,acknowledge blame
45,shift blame,7543,8.3,productive,reject,Vprod2,responsibility,Nsyn2,0,1,1674108,3466376,reject responsibility
46,shift blame,7543,8.3,synonym,move,Vsyn1,responsibility,Nsyn2,-1,1,13838515,3466376,move responsibility
47,shift blame,7543,8.3,synonym,transfer,Vsyn2,responsibility,Nsyn2,1,1,2182010,3466376,transfer responsibility
48,bend rule,8917,6.9,productive,amend,Vprod2,law,Nsyn1,0,1,832809,12166006,amend law
49,bend rule,8917,6.9,synonym,deform,Vsyn1,law,Nsyn1,-1,1,74047,12166006,deform law
50,bend rule,8917,6.9,synonym,warp,Vsyn2,law,Nsyn1,-1,1,136707,12166006,warp law
51,bend rule,8917,6.9,synonym,bend,Vcoll,guideline,Nsyn2,-1,1,688134,1748725,bend guideline
52,freeze asset,7158,7.9,productive,acquire,Vprod2,asset,Ncoll,0,1,2421658,2590642,acquire asset
53,freeze asset,7158,7.9,productive,chill,Vsyn1,meat,Nprod2,0,1,209991,1504552,chill meat
54,freeze asset,7158,7.9,productive,preserve,Vsyn2,meat,Nprod2,0,1,1699725,1504552,preserve meat
55,freeze asset,7158,7.9,synonym,freeze,Vcoll,account,Nsyn1,1,1,657944,6466773,freeze account
56,cut cost,73694,8.7,productive,slash,Vsyn1,hair,Nprod1,0,1,215685,3264740,slash hair
57,cut cost,73694,8.7,productive,injure,Vsyn2,hair,Nprod1,-1,1,869674,3264740,injure hair
58,cut cost,73694,8.7,productive,cut,Vcoll,tree,Nprod2,0,1,4985046,5546438,cut tree
59,cut cost,73694,8.7,productive,incur,Vprod1,rate,Nsyn2,-1,1,437091,9282600,incur rate
60,read mind,23147,6.8,productive,read,Vcoll,book,Nprod1,0,1,15107127,16938594,read book
61,read mind,23147,6.8,productive,influence,Vprod1,brain,Nsyn1,0,1,1915269,2931387,influence brain
62,read mind,23147,6.8,synonym,study,Vsyn1,mind,Ncoll,0,1,4076236,7183270,study mind
63,read mind,23147,6.8,synonym,scan,Vsyn2,mind,Ncoll,1,1,1036158,7183270,scan mind
64,raise awareness,283116,10.8,collocation,raise,Vcoll,awareness,Ncoll,1,1,6484369,1879643,raise awareness
65,raise awareness,283116,10.8,productive,increase,Vprod1,awareness,Ncoll,0,1,11371682,1879643,increase awareness
66,raise awareness,283116,10.8,productive,demonstrate,Vprod2,issue,Nsyn2,0,1,3435000,15495287,demonstrate issue
67,raise awareness,283116,10.8,synonym,lift,Vsyn1,issue,Nsyn2,-1,1,1452619,15495287,lift issue
68,raise awareness,283116,10.8,synonym,hoist,Vsyn2,issue,Nsyn2,-1,1,84521,15495287,hoist issue
69,pay respect,20686,8.2,productive,accord,Vprod2,esteem,Nsyn1,0,1,10135350,125353,accord esteem
70,pay respect,20686,8.2,synonym,reward,Vsyn1,esteem,Nsyn1,-1,1,576227,125353,reward esteem
71,pay respect,20686,8.2,synonym,fund,Vsyn2,esteem,Nsyn1,-1,1,1800293,125353,fund esteem
72,pay respect,20686,8.2,synonym,pay,Vcoll,regard,Nsyn2,1,1,11161866,1809574,pay regard
73,earn trust,14815,7.6,productive,appreciate,Vprod2,trust,Ncoll,0,1,2180500,1739341,appreciate trust
74,earn trust,14815,7.6,productive,spend,Vsyn1,profit,Nprod2,0,1,7693627,2012641,spend profit
75,earn trust,14815,7.6,productive,obtain,Vsyn2,profit,Nprod2,0,1,4232413,2012641,obtain profit
76,earn trust,14815,7.6,synonym,earn,Vcoll,confidence,Nsyn1,1,1,3133954,1772680,earn confidence
77,spark outrage,7612,9.3,productive,ignite,Vsyn1,fire,Nprod1,0,1,212053,5057358,ignite fire
78,spark outrage,7612,9.3,productive,trigger,Vsyn2,fire,Nprod1,0,1,1017872,5057358,trigger fire
79,spark outrage,7612,9.3,productive,spark,Vcoll,blaze,Nprod2,0,1,431972,105186,spark blaze
80,spark outrage,7612,9.3,productive,express,Vprod1,protest,Nsyn2,0,1,3220210,1406771,express protest
