set,coll,related_verb,coll_freq,coll_score,prod,prod_freq,prod_score,idiom,idiom_freq,idiom_score,comments
1,abandon plan,desert,19302,6.7,building,15935,7.2,ship,16629,7.9,
2,battle disease,combat,4809,6.5,enemy,3316,6.4,demon,4244,8,
3,beat odds,hit,12754,7.7,egg,12025,7.3,drum,15198,8,
4,bend rule,warp,14612,7.1,leg,7787,7.5,knee,27701,10.5,
5,blow mind,explode,58033,9.4,air,19266,8.4,smoke,11725,8.6,
6,break silence,shatter,53167,8.5,bone,66577,8.8,leg,677376,8.7,
7,build trust,construct,79084,7.6,structure,85865,7.6,wall,77579,7.5,
8,capture scene,apprehend,10061,6.3,soldiers,10187,6.7,heart,23582,7.5,
9,carry risk,transport,44571,7.5,load,45814,8.2,weight,72738,8.6,
10,cast doubt,toss,56812,9.6,line,7730,5.3,net,17940,8.7,
11,catch attention,seize,133801,9.3,fish,111494,9.3,eye,163400,9.7,avoided catch fire because literal meaning
12,cement legacy,glue,,,,,,,,,couldn’t find productive use
13,chase dream,pursue,15269,8.2,ball,7917,6.8,tail,7173,8.5,variance
14,cloud judgement,fog,,,,,,,,,"stats marred by cloud used in the IT sense (e.g., cloud computing)"
15,cover expense,envelop,58741,7.9,face,55326,7.7,ground,43449,7.4,
16,crack smile,split,7983,8.2,egg,7478,7.7,case,7313,5,crack joke 17189 9.3
17,crash wedding,ram,1110,6.2,spaceship,1083,7.2,computer,2527,5.8,
18,cross mind,traverse,46036,8.5,street,45592,9,line,189753,9.8,
19,cultivate talent,grow,3854,6.5,soil,3389,6.9,garden,4189,6.9,idiomatic meaning might be lesser known
20,cut tax,slash,40766,8,hair,46643,8.3,corner,41219,8.4,cut cost 100014  8.7
21,damage reputation,harm,15306,8.2,building,13504,7,,,,
22,dangle prospect,hang,447,4.8,leg,1386,5.4,carrot,2648,9.5,
23,dash hope,hurl,13808,8.5,,,,,,,
24,defy gravity,disobey,10447,9.7,law,12283,6.7,reason,1792,3.7,imagination 1482 6.4 (as idiom)
25,dent confidence,mark,1228,5.4,can,925,6.8,reputation,413,4,
26,destroy credibility,demolish,,,,,,,,,
27,diffuse situation,scatter,4620,5.9,light,7147,6.3,tension,1814,6.6,variance
28,dissolve marriage,liquefy,6378,7.6,sugar,7278,8.3,,,,
29,distort truth,contort,5871,6.5,image,4773,5.1,picture,1905,4.1,unsure
30,drain account,empty,2706,5,oil,6015,6.9,swamp,8256,9.6,
31,drive change,operate,58610,7.4,vehicle,66778,8.3,,,,
32,drop hint,release,15554,7.8,anchor,9980,7.3,line,13304,5.9,
33,earn reputation,gross,44358,8.7,income,75184,9.3,,,,
34,embrace diversity,hug,,,,,,,,,
35,enter competition,invade,35716,7.4,house,54063,7.6,market,122635,8.9,
36,erase history,delete,5499,5.8,board,3931,6.3,trace,2860,7.5,
37,face fact,encounter,24588,6.6,window,8743,5.4,obstacle,25112,7.3,variance
38,fatten wallet,bloat,652,7.3,pig,953,7.2,,,,
39,fight cancer,quarrel,23036,8,enemy,23869,8,man,17711,5.9,
40,float idea,slide,14114,5.9,log,871,5.6,boat,12267,8.4,variance
41,flood inbox,inundate,1404,6.9,area,17316,6.3,market,24774,9,
42,forge signature,mold,6865,8,wheel,6475,7.4,link,9616,6.3,
43,freeze asset,solidify,9599,7.7,water,5735,5.4,heart,936,3.9,variance
44,grasp meaning,clutch,6358,7.1,hand,7746,5.7,nettle,2108,7.9,
45,harbor resentment,shield,2450,8.8,terrorist,2297,7.7,,,,
46,harness wind,saddle,1451,6.1,horse,1463,5.3,,,,
47,hold breath,clasp,113164,8.2,hand,168395,8.4,key,59256,7.2,check hold hands for idiomatic meaning
48,hurl abuse,fling,3968,7.7,stone,4148,7.3,,,,
49,hurt business,injure,11397,5.9,child,11455,5.5,eye,8773,5.9,idiom may be sketch
50,ignite debate,kindle,2905,6.6,flame,2986,7.9,fire,9306,7.5,
51,inflate ego,fill,2090,8,balloon,4946,9.4,bubble,2333,7.8,inflate cost 3858 4.8
52,kick habit,boot,10490,8.1,door,9371,6.7,bucket,6257,8.2,
53,kill time,murder,30145,5.1,officer,28098,7.2,,,,
54,land contract,arrive,5574,6.4,plane,6422,7.6,,,,
55,launch business,toss,23341,6.4,satellite,23789,7.7,,,,
56,launder money,wash,13271,6,clothes,1033,5.6,,,,
