item,fitem,score,type,verb,noun
abandon ship,16629.0,7.9,idiom,abandon,ship
battle demon,4244.0,8.0,idiom,battle,demon
beat drum,15198.0,8.0,idiom,beat,drum
bend knee,27701.0,10.5,idiom,bend,knee
blow smoke,11725.0,8.6,idiom,blow,smoke
break leg,677376.0,8.7,idiom,break,leg
build wall,77579.0,7.5,idiom,build,wall
capture heart,23582.0,7.5,idiom,capture,heart
carry weight,72738.0,8.6,idiom,carry,weight
cast net,17940.0,8.7,idiom,cast,net
catch eye,163400.0,9.7,idiom,catch,eye
cement none,none,none,idiom,cement,none
chase tail,7173.0,8.5,idiom,chase,tail
cloud none,none,none,idiom,cloud,none
cover ground,43449.0,7.4,idiom,cover,ground
crack case,7313.0,5.0,idiom,crack,case
crash computer,2527.0,5.8,idiom,crash,computer
cross line,189753.0,9.8,idiom,cross,line
cultivate garden,4189.0,6.9,idiom,cultivate,garden
cut corner,41219.0,8.4,idiom,cut,corner
damage none,none,none,idiom,damage,none
dangle carrot,2648.0,9.5,idiom,dangle,carrot
dash none,none,none,idiom,dash,none
defy reason,1792.0,3.7,idiom,defy,reason
dent reputation,413.0,4.0,idiom,dent,reputation
destroy none,none,none,idiom,destroy,none
diffuse tension,1814.0,6.6,idiom,diffuse,tension
dissolve none,none,none,idiom,dissolve,none
distort picture,1905.0,4.1,idiom,distort,picture
drain swamp,8256.0,9.6,idiom,drain,swamp
drive none,none,none,idiom,drive,none
drop line,13304.0,5.9,idiom,drop,line
earn none,none,none,idiom,earn,none
embrace none,none,none,idiom,embrace,none
enter market,122635.0,8.9,idiom,enter,market
erase trace,2860.0,7.5,idiom,erase,trace
face obstacle,25112.0,7.3,idiom,face,obstacle
fatten none,none,none,idiom,fatten,none
fight man,17711.0,5.9,idiom,fight,man
float boat,12267.0,8.4,idiom,float,boat
flood market,24774.0,9.0,idiom,flood,market
forge link,9616.0,6.3,idiom,forge,link
freeze heart,936.0,3.9,idiom,freeze,heart
grasp nettle,2108.0,7.9,idiom,grasp,nettle
harbor none,none,none,idiom,harbor,none
harness none,none,none,idiom,harness,none
hold key,59256.0,7.2,idiom,hold,key
hurl none,none,none,idiom,hurl,none
hurt eye,8773.0,5.9,idiom,hurt,eye
ignite fire,9306.0,7.5,idiom,ignite,fire
inflate bubble,2333.0,7.8,idiom,inflate,bubble
kick bucket,6257.0,8.2,idiom,kick,bucket
kill none,none,none,idiom,kill,none
land none,none,none,idiom,land,none
launch none,none,none,idiom,launch,none
launder none,none,none,idiom,launder,none
leak none,none,none,idiom,leak,none
level field,4459.0,5.9,idiom,level,field
lift finger,20457.0,8.2,idiom,lift,finger
lock horn,10804.0,8.4,idiom,lock,horn
muzzle ox,602.0,9.0,idiom,muzzle,ox
navigate world,18410.0,6.9,idiom,navigate,world
nurse none,none,none,idiom,nurse,none
pad pocket,2019.0,7.3,idiom,pad,pocket
pay price,278026.0,9.7,idiom,pay,price
pick brain,13281.0,7.5,idiom,pick,brain
pierce veil,4674.0,9.5,idiom,pierce,veil
pitch none,none,none,idiom,pitch,none
plant none,none,none,idiom,plant,none
polish image,1148.0,3.1,idiom,polish,image
push button,90119.0,9.6,idiom,push,button
raid none,none,none,idiom,raid,none
raise eyebrow,126474.0,9.3,idiom,raise,eyebrow
read none,none,none,idiom,read,none
rewrite none,none,none,idiom,rewrite,none
scrap none,none,none,idiom,scrap,none
scrape bottom,5734.0,8.7,idiom,scrape,bottom
shape none,none,none,idiom,shape,none
share bed,15565.0,6.0,idiom,share,bed
shatter record,9028.0,6.3,idiom,shatter,record
shift burden,14511.0,8.2,idiom,shift,burden
silence critic,9062.0,9.6,idiom,silence,critic
skip town,4297.0,6.3,idiom,skip,town
slap label,2004.0,6.3,idiom,slap,label
slash bill,1279.0,4.4,idiom,slash,bill
smear opponent,933.0,5.6,idiom,smear,opponent
smell rose,7425.0,9.4,idiom,smell,rose
soften blow,10244.0,9.4,idiom,soften,blow
sow seed,57012.0,10.9,idiom,sow,seed
spark fire,5462.0,6.5,idiom,spark,fire
spew venom,2067.0,9.4,idiom,spew,venom
spill bean,18162.0,10.4,idiom,spill,bean
spin wheel,25453.0,9.5,idiom,spin,wheel
spout none,none,none,idiom,spout,none
spread seed,7216.0,6.7,idiom,spread,seed
steer none,none,none,idiom,steer,none
stifle voice,1886.0,4.9,idiom,stifle,voice
stimulate brain,6316.0,7.3,idiom,stimulate,brain
stir pot,13006.0,9.4,idiom,stir,pot
strain ear,2727.0,7.2,idiom,strain,ear
strike gold,11563.0,7.8,idiom,strike,gold
swallow none,none,none,idiom,swallow,none
sway none,none,none,idiom,sway,none
swing none,none,none,idiom,swing,none
tackle none,none,none,idiom,tackle,none
taste blood,5479.0,7.0,idiom,taste,blood
throw money,43659.0,7.3,idiom,throw,money
twist arm,11204.0,7.6,idiom,twist,arm
unearth treasure,1465.0,7.1,idiom,unearth,treasure
unleash hell,2366.0,6.8,idiom,unleash,hell
unlock door,46638.0,9.0,idiom,unlock,door
weave web,6389.0,7.9,idiom,weave,web
fuel fire,9418.0,7.3,idiom,fuel,fire
fan flame,17553.0,10.9,idiom,fan,flame
sweeten pot,3461.0,8.0,idiom,sweeten,pot
close gap,134164.0,10.0,idiom,close,gap
run race,65736.0,7.6,idiom,run,race
abandon building,15935.0,7.2,prod,abandon,building
battle enemy,3316.0,6.4,prod,battle,enemy
beat egg,12025.0,7.3,prod,beat,egg
bend leg,7787.0,7.5,prod,bend,leg
blow air,19266.0,8.4,prod,blow,air
break bone,66577.0,8.8,prod,break,bone
build structure,85865.0,7.6,prod,build,structure
capture soldier,10187.0,6.7,prod,capture,soldier
carry load,45814.0,8.2,prod,carry,load
cast line,7730.0,5.3,prod,cast,line
catch fish,111494.0,9.3,prod,catch,fish
cement none,none,none,prod,cement,none
chase ball,7917.0,6.8,prod,chase,ball
cloud none,none,none,prod,cloud,none
cover face,55326.0,7.7,prod,cover,face
crack egg,7478.0,7.7,prod,crack,egg
crash spaceship,1083.0,7.2,prod,crash,spaceship
cross street,45592.0,9.0,prod,cross,street
cultivate soil,3389.0,6.9,prod,cultivate,soil
cut hair,46643.0,8.3,prod,cut,hair
damage building,13504.0,7.0,prod,damage,building
dangle leg,1386.0,5.4,prod,dangle,leg
dash none,none,none,prod,dash,none
defy law,12283.0,6.7,prod,defy,law
dent can,925.0,6.8,prod,dent,can
destroy none,none,none,prod,destroy,none
diffuse light,7147.0,6.3,prod,diffuse,light
dissolve sugar,7278.0,8.3,prod,dissolve,sugar
distort image,4773.0,5.1,prod,distort,image
drain oil,6015.0,6.9,prod,drain,oil
drive vehicle,66778.0,8.3,prod,drive,vehicle
drop anchor,9980.0,7.3,prod,drop,anchor
earn income,75184.0,9.3,prod,earn,income
embrace none,none,none,prod,embrace,none
enter house,54063.0,7.6,prod,enter,house
erase board,3931.0,6.3,prod,erase,board
face window,8743.0,5.4,prod,face,window
fatten pig,953.0,7.2,prod,fatten,pig
fight enemy,23869.0,8.0,prod,fight,enemy
float log,871.0,5.6,prod,float,log
flood area,17316.0,6.3,prod,flood,area
forge wheel,6475.0,7.4,prod,forge,wheel
freeze water,5735.0,5.4,prod,freeze,water
grasp hand,7746.0,5.7,prod,grasp,hand
harbor terrorist,2297.0,7.7,prod,harbor,terrorist
harness horse,1463.0,5.3,prod,harness,horse
hold hand,168395.0,8.4,prod,hold,hand
hurl stone,4148.0,7.3,prod,hurl,stone
hurt child,11455.0,5.5,prod,hurt,child
ignite flame,2986.0,7.9,prod,ignite,flame
inflate balloon,4946.0,9.4,prod,inflate,balloon
kick door,9371.0,6.7,prod,kick,door
kill officer,28098.0,7.2,prod,kill,officer
land plane,6422.0,7.6,prod,land,plane
launch satellite,23789.0,7.7,prod,launch,satellite
launder clothes,1033.0,5.6,prod,launder,clothes
leak oil,7320.0,7.1,prod,leak,oil
level ground,2181.0,5.3,prod,level,ground
lift hand,29716.0,7.4,prod,lift,hand
lock gate,11288.0,8.2,prod,lock,gate
muzzle dog,673.0,3.7,prod,muzzle,dog
navigate water,12267.0,6.5,prod,navigate,water
nurse infant,1225.0,6.6,prod,nurse,infant
pad cushion,1230.0,7.5,prod,pad,cushion
pay debt,84234.0,8.3,prod,pay,debt
pick winner,25931.0,8.3,prod,pick,winner
pierce skin,5027.0,7.0,prod,pierce,skin
pitch ball,3512.0,5.6,prod,pitch,ball
plant seedling,7912.0,8.1,prod,plant,seedling
polish surface,3211.0,6.5,prod,polish,surface
push people,29182.0,5.5,prod,push,people
raid headquarters,1162.0,6.7,prod,raid,headquarters
raise hand,134259.0,8.6,prod,raise,hand
read document,34757.0,6.7,prod,read,document
rewrite article,7859.0,5.7,prod,rewrite,article
scrap car,4251.0,5.1,prod,scrap,car
scrape skin,1675.0,5.4,prod,scrape,skin
shape structure,4320.0,5.3,prod,shape,structure
share food,17706.0,5.8,prod,share,food
shatter glass,5273.0,7.3,prod,shatter,glass
shift position,13395.0,6.5,prod,shift,position
silence voice,12799.0,7.6,prod,silence,voice
skip rope,4595.0,7.7,prod,skip,rope
slap face,5516.0,6.4,prod,slap,face
slash throat,2869.0,8.1,prod,slash,throat
smear blood,2322.0,6.4,prod,smear,blood
smell perfume,2919.0,8.2,prod,smell,perfume
soften skin,6229.0,7.3,prod,soften,skin
sow crop,5292.0,7.9,prod,sow,crop
spark flame,1100.0,5.7,prod,spark,flame
spew lava,1017.0,8.7,prod,spew,lava
spill beer,2737.0,6.9,prod,spill,beer
spin yarn,10358.0,9.6,prod,spin,yarn
spout water,1091.0,3.1,prod,spout,water
spread butter,3074.0,5.8,prod,spread,butter
steer boat,4211.0,6.7,prod,steer,boat
stifle yawn,2819.0,9.5,prod,stifle,yawn
stimulate cell,11511.0,7.4,prod,stimulate,cell
stir mixture,9045.0,8.7,prod,stir,mixture
strain muscle,3831.0,7.5,prod,strain,muscle
strike target,9230.0,6.9,prod,strike,target
swallow pill,8107.0,9.1,prod,swallow,pill
sway hip,2465.0,8.2,prod,sway,hip
swing axe,3085.0,8.1,prod,swing,axe
tackle player,1690.0,3.5,prod,tackle,player
taste flavor,4555.0,7.2,prod,taste,flavor
throw rock,33109.0,8.0,prod,throw,rock
twist ankle,5585.0,9.1,prod,twist,ankle
unearth fossil,748.0,7.1,prod,unearth,fossil
unleash dog,2534.0,5.4,prod,unleash,dog
unlock car,5734.0,5.3,prod,unlock,car
weave basket,7588.0,8.5,prod,weave,basket
fuel car,4448.0,5.0,prod,fuel,car
fan face,681.0,3.5,prod,fan,face
sweeten milk,2791.0,7.5,prod,sweeten,milk
close window,46496.0,8.3,prod,close,window
