item,fitem,score,type,verb,noun,stimuli_grammatical,stimuli_plural
abandon ship,16629,7.9,idiom,abandon,ship,abandon ship,abandon ship
abandon building,15935,7.2,prod,abandon,building,abandon building,abandon buildings
abandon plan,19302,6.7,collocation,abandon,plan,abandon the plan,abandon plans
battle demon,4244,8,idiom,battle,demon,battle one's demons,battle demons
battle enemy,3316,6.4,prod,battle,enemy,battle the enemy,battle enemies
battle disease,4809,6.5,collocation,battle,disease,battle a disease,battle diseases
beat drum,15198,8,idiom,beat,drum,beat one's drum,beat drums
beat egg,12025,7.3,prod,beat,egg,beat an egg,beat eggs
beat odd,12754,7.7,collocation,beat,odd,beat the odds,beat odds
bend knee,27701,10.5,idiom,bend,knee,bend the knee,bend knees
bend leg,7787,7.5,prod,bend,leg,bend one's leg,bend legs
bend rule,14612,7.1,collocation,bend,rule,bend the rule,bend rules
blow smoke,11725,8.6,idiom,blow,smoke,blow smoke,blow smoke
blow air,19266,8.4,prod,blow,air,blow air,blow air
blow mind,58033,9.4,collocation,blow,mind,blow one's mind,blow minds
break leg,677376,8.7,idiom,break,leg,break a leg,break legs
break bone,66577,8.8,prod,break,bone,break a bone,break bones
break silence,53167,8.5,collocation,break,silence,break the silence,break silence
build wall,77579,7.5,idiom,build,wall,build a wall,build walls
build structure,85865,7.6,prod,build,structure,build a structure,build structures
build trust,79084,7.6,collocation,build,trust,build trust,build trust
capture heart,23582,7.5,idiom,capture,heart,capture a heart,capture hearts
capture soldier,10187,6.7,prod,capture,soldier,capture a soldier,capture soldiers
capture scene,10061,6.3,collocation,capture,scene,capture a scene,capture scenes
carry weight,72738,8.6,idiom,carry,weight,carry the weight,carry weight
carry load,45814,8.2,prod,carry,load,carry a load,carry loads
carry risk,44571,7.5,collocation,carry,risk,carry a risk,carry risks
cast net,17940,8.7,idiom,cast,net,cast a net,cast nets
cast line,7730,5.3,prod,cast,line,cast a line,cast lines
cast doubt,56812,9.6,collocation,cast,doubt,cast doubt,cast doubts
catch eye,163400,9.7,idiom,catch,eye,catch one's eye,catch eye
catch fish,111494,9.3,prod,catch,fish,catch a fish,catch fish
catch attention,133801,9.3,collocation,catch,attention,catch one's attention,catch attention
chase tail,7173,8.5,idiom,chase,tail,chase one's tail,chase tails
chase ball,7917,6.8,prod,chase,ball,chase ball,chase balls
chase dream,15269,8.2,collocation,chase,dream,chase dream,chase dreams
