mode,id,participant,item,act,rt
l1,679215,3,bend rules,0.9563897252082825,17.0
l1,7056020,2,bend rules,0.9551945328712463,18.0
l1,8577766,5,bend rules,0.955193042755127,18.0
l1,6463343,1,bend rules,0.9554983973503113,18.0
l1,4343902,4,bend rules,0.9563551545143127,17.0
l1,8152513,6,bend rules,0.9556703567504883,19.0
l1,679215,3,bend coal,0.9555344581604004,16.0
l1,7056020,2,bend coal,0.9555640816688538,16.0
l1,8577766,5,bend coal,0.9560181498527527,16.0
l1,4343902,4,bend coal,0.9554595947265625,17.0
l1,6463343,1,bend coal,0.955232560634613,18.0
l1,679215,3,break windows,0.95505690574646,22.0
l1,8152513,6,bend coal,0.9560183882713318,15.0
l1,4343902,4,break windows,0.9550654888153076,17.0
l1,7056020,2,break windows,0.9569594264030457,16.0
l1,679215,3,break jokes,0.9558868408203125,17.0
l1,8577766,5,break windows,0.9564133286476135,17.0
l1,4343902,4,break jokes,0.9562065601348877,17.0
l1,6463343,1,break windows,0.9554035067558289,18.0
l1,8152513,6,break windows,0.9556220769882202,19.0
l1,4343902,4,bring peace,0.95566725730896,21.0
l1,7056020,2,break jokes,0.9563628435134888,18.0
l1,679215,3,bring peace,0.9553312659263611,23.0
l1,6463343,1,break jokes,0.9565243721008301,17.0
l1,8577766,5,break jokes,0.9557096362113953,16.0
l1,4343902,4,bring boundaries,0.9555785655975342,20.0
l1,679215,3,bring boundaries,0.955949604511261,20.0
l1,8152513,6,break jokes,0.9555946588516235,16.0
l1,4343902,4,build houses,0.9554816484451294,17.0
l1,679215,3,build houses,0.9554321765899658,18.0
l1,7056020,2,bring peace,0.9551019072532654,25.0
l1,4343902,4,build secrets,0.955201268196106,18.0
l1,8577766,5,bring peace,0.9551491737365723,21.0
l1,679215,3,build secrets,0.9550959467887878,17.0
l1,6463343,1,bring peace,0.955106258392334,21.0
l1,8152513,6,bring peace,0.9550672769546509,21.0
l1,4343902,4,burn coal,0.9561188220977783,23.0
l1,679215,3,burn coal,0.955803632736206,22.0
l1,8577766,5,bring boundaries,0.9561710357666016,19.0
l1,7056020,2,bring boundaries,0.9561315774917603,19.0
l1,4343902,4,burn smells,0.9550528526306152,20.0
l1,6463343,1,bring boundaries,0.9557212591171265,20.0
l1,8152513,6,bring boundaries,0.9554711580276489,20.0
l1,679215,3,burn smells,0.9570657014846802,21.0
l1,4343902,4,buy tickets,0.9553678631782532,21.0
l1,8577766,5,build houses,0.9550873637199402,18.0
