mode,id,participant,item,act,rt
l1,679215,3,bend rules,0.9550245404243469,180.0
l1,4343902,4,bend rules,0.95500648021698,297.0
l1,7056020,2,bend rules,0.9550229907035828,275.0
l1,6463343,1,bend rules,0.9550148844718933,310.0
l1,6463343,1,bend coal,0.9550076127052307,258.0
l1,679215,3,bend coal,0.9550168514251709,305.0
l1,4343902,4,bend coal,0.7240666151046753,450.0
l1,7056020,2,bend coal,0.953454852104187,450.0
l1,679215,3,break windows,0.9550111293792725,273.0
l1,6463343,1,break windows,0.9550131559371948,346.0
l1,7056020,2,break windows,0.9550284743309021,209.0
l1,679215,3,break jokes,0.9550092816352844,103.0
l1,7056020,2,break jokes,0.9550072550773621,112.0
l1,6463343,1,break jokes,0.9550103545188904,231.0
l1,4343902,4,break windows,0.9550210237503052,405.0
l1,7056020,2,bring peace,0.9550325870513916,107.0
l1,679215,3,bring peace,0.9550016522407532,219.0
l1,4343902,4,break jokes,0.9550072550773621,63.0
l1,7056020,2,bring boundaries,0.9550202488899231,59.0
l1,679215,3,bring boundaries,0.9550140500068665,185.0
l1,4343902,4,bring peace,0.9550274014472961,208.0
l1,6463343,1,bring peace,0.9550036787986755,284.0
l1,7056020,2,build houses,0.9550018310546875,333.0
l1,4343902,4,bring boundaries,0.9550091028213501,181.0
l1,6463343,1,bring boundaries,0.9550124406814575,201.0
l1,679215,3,build houses,0.9550116062164307,285.0
l1,679215,3,build secrets,0.9550728797912598,34.0
l1,7056020,2,build secrets,0.955001175403595,112.0
l1,679215,3,burn coal,0.9550184607505798,43.0
l1,7056020,2,burn coal,0.95502108335495,59.0
l1,6463343,1,build houses,0.9550189971923828,159.0
l1,7056020,2,burn smells,0.9550161957740784,52.0
l1,4343902,4,build houses,0.9550190567970276,272.0
l1,679215,3,burn smells,0.9550071954727173,151.0
l1,6463343,1,build secrets,0.9550063014030457,107.0
l1,6463343,1,burn coal,0.9550084471702576,57.0
l1,7056020,2,buy tickets,0.9550247192382812,149.0
l1,7056020,2,buy blame,0.9550071358680725,42.0
l1,6463343,1,burn smells,0.9550283551216125,86.0
