mode,id,participant,item,act,rt
l1,6463343,1,bend rules,0.9550153017044067,310.0
l1,6463343,1,bend coal,0.9550074338912964,258.0
l1,6463343,1,break windows,0.9550132155418396,346.0
l1,6463343,1,break jokes,0.955010712146759,231.0
l1,6463343,1,bring peace,0.9550032615661621,284.0
l1,6463343,1,bring boundaries,0.9550124406814575,201.0
l1,6463343,1,build houses,0.9550188779830933,159.0
l1,6463343,1,build secrets,0.9550064206123352,107.0
l1,6463343,1,burn coal,0.9550084471702576,57.0
l1,6463343,1,burn smells,0.9550285339355469,86.0
l1,6463343,1,buy tickets,0.9550175070762634,139.0
l1,6463343,1,buy blame,0.9550668001174927,41.0
l1,6463343,1,catch fire,0.9550013542175293,155.0
l1,6463343,1,catch bills,0.9550095200538635,120.0
l1,6463343,1,chase dreams,0.9550334215164185,51.0
l1,6463343,1,chase houses,0.9550336599349976,162.0
l1,6463343,1,crack jokes ,0.9550197720527649,92.0
l1,6463343,1,crack promises,0.9550248384475708,101.0
l1,6463343,1,cross rivers,0.9550017714500427,321.0
l1,6463343,1,cross costs,0.9535379409790039,450.0
l1,6463343,1,cut costs,0.9550267457962036,297.0
l1,6463343,1,cut fire,0.9532504677772522,450.0
l1,6463343,1,drink beer,0.9550366997718811,39.0
l1,6463343,1,drink books,0.95506352186203,194.0
l1,6463343,1,drive growth,0.9550024271011353,341.0
l1,6463343,1,drive doors,0.95500648021698,300.0
l1,6463343,1,drop hints,0.9554462432861328,38.0
l1,6463343,1,drop growth,0.9550234079360962,147.0
l1,6463343,1,earn trust,0.9550001621246338,106.0
l1,6463343,1,earn dishes,0.9554236531257629,34.0
l1,6463343,1,eat fish,0.9550246596336365,134.0
l1,6463343,1,eat trust,0.9550392627716064,140.0
l1,6463343,1,enter contests,0.9550009965896606,106.0
l1,6463343,1,enter flags,0.9550327658653259,125.0
l1,6463343,1,feel pain,0.9550096988677979,343.0
l1,6463343,1,feel tickets,0.9550172686576843,201.0
l1,6463343,1,fight poverty,0.9550304412841797,152.0
l1,6463343,1,fight accounts,0.9550310969352722,149.0
l1,6463343,1,fly flags,0.9550354480743408,83.0
l1,6463343,1,fly kids,0.9550105333328247,354.0
l1,6463343,1,foot bills,0.9550156593322754,137.0
l1,6463343,1,foot minds,0.9550108909606934,167.0
l1,6463343,1,freeze accounts,0.9550036191940308,63.0
l1,6463343,1,freeze power,0.9550192952156067,358.0
l1,6463343,1,hear sounds,0.9550007581710815,169.0
l1,6463343,1,hear habit,0.9550374746322632,31.0
l1,6463343,1,hide secrets,0.9550349712371826,40.0
