bend rules,"tensor(0.9557, dtype=torch.float64)",63.0
bend coal,"tensor(0.9550, dtype=torch.float64)",99.0
break windows,"tensor(0.9552, dtype=torch.float64)",83.0
break jokes,"tensor(0.9551, dtype=torch.float64)",165.0
bring peace,"tensor(0.9550, dtype=torch.float64)",102.0
bring boundaries,"tensor(0.9553, dtype=torch.float64)",71.0
build houses,"tensor(0.9550, dtype=torch.float64)",137.0
build secrets,"tensor(0.9552, dtype=torch.float64)",91.0
burn coal,"tensor(0.9553, dtype=torch.float64)",89.0
burn smells,"tensor(0.9556, dtype=torch.float64)",70.0
buy tickets,"tensor(0.9557, dtype=torch.float64)",90.0
buy blame,"tensor(0.9550, dtype=torch.float64)",97.0
catch fire,"tensor(4.6156e-14, dtype=torch.float64)",450.0
catch bills,"tensor(0.9552, dtype=torch.float64)",115.0
chase dreams,"tensor(0.9558, dtype=torch.float64)",77.0
chase houses,"tensor(0.9555, dtype=torch.float64)",75.0
crack jokes ,"tensor(0.9552, dtype=torch.float64)",137.0
crack promises,"tensor(0.9552, dtype=torch.float64)",129.0
cross rivers,"tensor(0.9555, dtype=torch.float64)",63.0
cross costs,"tensor(0.9553, dtype=torch.float64)",81.0
cut costs,"tensor(0.9551, dtype=torch.float64)",86.0
cut fire,"tensor(0.9552, dtype=torch.float64)",91.0
drink beer,"tensor(0.9564, dtype=torch.float64)",77.0
drink books,"tensor(0.9556, dtype=torch.float64)",110.0
drive growth,"tensor(0.9551, dtype=torch.float64)",130.0
drive doors,"tensor(0.9551, dtype=torch.float64)",74.0
drop hints,"tensor(0.9555, dtype=torch.float64)",100.0
drop growth,"tensor(0.9551, dtype=torch.float64)",70.0
earn trust,"tensor(0.9552, dtype=torch.float64)",96.0
earn dishes,"tensor(0.9558, dtype=torch.float64)",72.0
eat fish,"tensor(0.9550, dtype=torch.float64)",127.0
eat trust,"tensor(0.9551, dtype=torch.float64)",76.0
enter contests,"tensor(0.9555, dtype=torch.float64)",84.0
enter flags,"tensor(0.9550, dtype=torch.float64)",121.0
feel pain,"tensor(0.9550, dtype=torch.float64)",104.0
feel tickets,"tensor(0.9552, dtype=torch.float64)",71.0
fight poverty,"tensor(0.9557, dtype=torch.float64)",82.0
fight accounts,"tensor(0.9556, dtype=torch.float64)",67.0
fly flags,"tensor(0.9551, dtype=torch.float64)",146.0
fly kids,"tensor(0.9556, dtype=torch.float64)",81.0
foot bills,"tensor(0.9550, dtype=torch.float64)",76.0
foot minds,"tensor(0.9552, dtype=torch.float64)",67.0
freeze accounts,"tensor(0.9553, dtype=torch.float64)",74.0
freeze power,"tensor(0.9551, dtype=torch.float64)",76.0
hear sounds,"tensor(0.9551, dtype=torch.float64)",171.0
hear habit,"tensor(0.9550, dtype=torch.float64)",73.0
hide secrets,"tensor(0.9559, dtype=torch.float64)",72.0
hide songs,"tensor(0.9556, dtype=torch.float64)",74.0
hold meetings,"tensor(0.9551, dtype=torch.float64)",119.0
hold poverty,"tensor(0.9559, dtype=torch.float64)",77.0
keep promises,"tensor(0.9554, dtype=torch.float64)",101.0
keep sounds,"tensor(0.9550, dtype=torch.float64)",149.0
kick habit,"tensor(0.9556, dtype=torch.float64)",88.0
kick love,"tensor(0.9559, dtype=torch.float64)",66.0
lift bans,"tensor(0.9556, dtype=torch.float64)",78.0
lift fish,"tensor(0.9556, dtype=torch.float64)",84.0
lock doors,"tensor(0.9551, dtype=torch.float64)",111.0
lock rules,"tensor(0.9554, dtype=torch.float64)",79.0
lose weight,"tensor(0.9552, dtype=torch.float64)",83.0
lose goals,"tensor(1.7177e-16, dtype=torch.float64)",450.0
mask smells,"tensor(0.9558, dtype=torch.float64)",84.0
mask time,"tensor(0.9551, dtype=torch.float64)",71.0
meet goals,"tensor(9.0590e-14, dtype=torch.float64)",450.0
meet peace,"tensor(0.9550, dtype=torch.float64)",104.0
pay taxes,"tensor(0.9551, dtype=torch.float64)",99.0
pay dreams,"tensor(0.9552, dtype=torch.float64)",97.0
push boundaries,"tensor(0.9555, dtype=torch.float64)",79.0
push contests,"tensor(0.9556, dtype=torch.float64)",70.0
raise doubts,"tensor(0.9552, dtype=torch.float64)",111.0
raise bans,"tensor(0.9552, dtype=torch.float64)",93.0
read minds,"tensor(0.9550, dtype=torch.float64)",99.0
read dogs,"tensor(0.9552, dtype=torch.float64)",77.0
sell books,"tensor(0.9551, dtype=torch.float64)",84.0
sell weight,"tensor(0.9551, dtype=torch.float64)",70.0
shift blame,"tensor(0.9551, dtype=torch.float64)",93.0
shift hints,"tensor(0.9558, dtype=torch.float64)",95.0
show love,"tensor(0.9552, dtype=torch.float64)",86.0
show beer,"tensor(0.9553, dtype=torch.float64)",83.0
sing songs,"tensor(0.9551, dtype=torch.float64)",79.0
sing rivers,"tensor(0.9552, dtype=torch.float64)",77.0
take power,"tensor(0.9550, dtype=torch.float64)",172.0
take doubts,"tensor(0.9553, dtype=torch.float64)",88.0
teach kids,"tensor(0.9550, dtype=torch.float64)",109.0
teach meetings,"tensor(0.9554, dtype=torch.float64)",70.0
walk dogs ,"tensor(0.9554, dtype=torch.float64)",76.0
walk windows,"tensor(0.9552, dtype=torch.float64)",90.0
wash dishes,"tensor(0.9555, dtype=torch.float64)",90.0
wash taxes,"tensor(0.9561, dtype=torch.float64)",81.0
waste time,"tensor(0.9551, dtype=torch.float64)",161.0
waste pain,"tensor(0.9552, dtype=torch.float64)",106.0
