mode,id,participant,item,act,rt
l1,6463343,1,kick love,0.9577764868736267,49.0
l1,679215,3,kick love,0.9563478231430054,50.0
l1,4343902,4,kick love,0.9570473432540894,47.0
l1,6463343,1,show love,0.9577896595001221,25.0
l1,7056020,2,kick love,0.9576066136360168,48.0
l1,679215,3,show love,0.9565896987915039,24.0
l1,4343902,4,show love,0.955614447593689,25.0
l1,7056020,2,show love,0.9577450156211853,26.0
l1,6463343,1,enter flags,0.9562926888465881,44.0
l1,679215,3,enter flags,0.9572511911392212,44.0
l1,4343902,4,enter flags,0.9552629590034485,44.0
l1,7056020,2,enter flags,0.9587858319282532,44.0
l1,6463343,1,fly flags,0.9585106372833252,47.0
l1,679215,3,fly flags,0.9579092264175415,47.0
l1,6463343,1,buy tickets,0.9575686454772949,22.0
l1,679215,3,buy tickets,0.9578918218612671,21.0
l1,7056020,2,fly flags,0.9555273056030273,46.0
l1,4343902,4,fly flags,0.9598275423049927,47.0
l1,7056020,2,buy tickets,0.9552240371704102,21.0
l1,4343902,4,buy tickets,0.9560356140136719,21.0
l1,6463343,1,feel tickets,0.9551299214363098,33.0
l1,679215,3,feel tickets,0.9550178050994873,53.0
l1,4343902,4,feel tickets,0.955115020275116,35.0
l1,7056020,2,feel tickets,0.955504834651947,54.0
l1,6463343,1,read dogs,0.9587189555168152,49.0
l1,679215,3,read dogs,0.9569792747497559,49.0
l1,4343902,4,read dogs,0.9576879143714905,49.0
l1,7056020,2,read dogs,0.9589018225669861,49.0
l1,6463343,1,walk dogs ,0.9554546475410461,48.0
l1,679215,3,walk dogs ,0.9558089971542358,48.0
l1,6463343,1,hide songs,0.9554515480995178,27.0
l1,4343902,4,walk dogs ,0.9564715623855591,48.0
l1,7056020,2,walk dogs ,0.9562012553215027,46.0
l1,6463343,1,sing songs,0.9556506872177124,19.0
l1,679215,3,hide songs,0.9552401304244995,27.0
l1,4343902,4,hide songs,0.955664336681366,27.0
l1,7056020,2,hide songs,0.956943154335022,27.0
l1,679215,3,sing songs,0.9556504487991333,19.0
l1,4343902,4,sing songs,0.9560855627059937,19.0
l1,7056020,2,sing songs,0.9573810696601868,19.0
l1,6463343,1,bend coal,0.9572433829307556,43.0
l1,679215,3,bend coal,0.9570763111114502,43.0
l1,4343902,4,bend coal,0.9565834999084473,44.0
l1,6463343,1,burn coal,0.9574910402297974,37.0
l1,7056020,2,bend coal,0.9562644958496094,43.0
l1,6463343,1,build houses,0.9552481174468994,12.0
l1,679215,3,burn coal,0.9563349485397339,36.0
l1,4343902,4,burn coal,0.9550040364265442,39.0
l1,7056020,2,burn coal,0.9555739164352417,38.0
l1,679215,3,build houses,0.9554464817047119,12.0
l1,6463343,1,chase houses,0.9551811218261719,26.0
l1,4343902,4,build houses,0.9588086009025574,13.0
l1,7056020,2,build houses,0.9579010009765625,13.0
l1,6463343,1,drink beer,0.9580220580101013,21.0
l1,679215,3,chase houses,0.9552489519119263,26.0
l1,4343902,4,chase houses,0.9550969004631042,26.0
l1,7056020,2,chase houses,0.9554464817047119,27.0
l1,679215,3,drink beer,0.9562578201293945,21.0
l1,4343902,4,drink beer,0.9566296339035034,20.0
l1,7056020,2,drink beer,0.9564390182495117,20.0
l1,6463343,1,show beer,0.9550202488899231,44.0
l1,4343902,4,show beer,0.955062210559845,41.0
l1,679215,3,show beer,0.9567044973373413,51.0
l1,7056020,2,show beer,0.955551028251648,49.0
l1,6463343,1,burn smells,0.9587432146072388,47.0
l1,4343902,4,burn smells,0.9596065282821655,47.0
l1,6463343,1,mask smells,0.9564052820205688,32.0
l1,679215,3,burn smells,0.9604282379150391,47.0
l1,7056020,2,burn smells,0.9568771123886108,47.0
l1,4343902,4,mask smells,0.9574689269065857,31.0
l1,679215,3,mask smells,0.9563531279563904,31.0
l1,7056020,2,mask smells,0.9589763879776001,31.0
l1,6463343,1,crack promises,0.9553191065788269,44.0
l1,6463343,1,keep promises,0.95733642578125,22.0
l1,4343902,4,crack promises,0.9601649045944214,44.0
l1,679215,3,crack promises,0.9607504606246948,44.0
l1,7056020,2,crack promises,0.9601938724517822,44.0
l1,4343902,4,keep promises,0.9566561579704285,22.0
l1,679215,3,keep promises,0.9559910893440247,21.0
l1,7056020,2,keep promises,0.9575427174568176,22.0
l1,6463343,1,enter contests,0.9550371170043945,48.0
l1,4343902,4,enter contests,0.9572281837463379,47.0
l1,679215,3,enter contests,0.9554803371429443,48.0
l1,7056020,2,enter contests,0.955140233039856,47.0
l1,6463343,1,push contests,0.9588620662689209,44.0
l1,6463343,1,earn trust,0.9572706818580627,18.0
l1,4343902,4,push contests,0.9624289274215698,44.0
l1,679215,3,push contests,0.9606221914291382,43.0
l1,7056020,2,push contests,0.9570099115371704,43.0
l1,4343902,4,earn trust,0.9574506878852844,18.0
l1,679215,3,earn trust,0.9553312659263611,18.0
l1,6463343,1,eat trust,0.9561752080917358,28.0
l1,4343902,4,eat trust,0.9565823078155518,28.0
l1,679215,3,eat trust,0.9572215676307678,29.0
l1,7056020,2,earn trust,0.9572466611862183,18.0
l1,6463343,1,foot bills,0.957819938659668,39.0
l1,7056020,2,eat trust,0.9563865661621094,28.0
l1,4343902,4,foot bills,0.962644636631012,39.0
l1,679215,3,foot bills,0.9593003988265991,39.0
l1,6463343,1,catch bills,0.9579534530639648,48.0
l1,7056020,2,foot bills,0.9579071998596191,39.0
l1,4343902,4,catch bills,0.9574006795883179,50.0
l1,679215,3,catch bills,0.9592949151992798,49.0
l1,6463343,1,fight accounts,0.9605836272239685,45.0
l1,7056020,2,catch bills,0.9564571380615234,48.0
l1,4343902,4,fight accounts,0.9614555239677429,45.0
l1,679215,3,fight accounts,0.9594666957855225,43.0
l1,6463343,1,freeze accounts,0.9567657709121704,32.0
l1,7056020,2,fight accounts,0.9583797454833984,44.0
l1,4343902,4,freeze accounts,0.9573094248771667,36.0
l1,679215,3,freeze accounts,0.9574186205863953,34.0
l1,6463343,1,drive growth,0.9567288756370544,42.0
l1,7056020,2,freeze accounts,0.9586479663848877,34.0
l1,4343902,4,drive growth,0.960700273513794,44.0
l1,679215,3,drive growth,0.959560751914978,42.0
l1,6463343,1,drop growth,0.9619905352592468,44.0
l1,7056020,2,drive growth,0.9553932547569275,44.0
l1,4343902,4,drop growth,0.9576847553253174,43.0
l1,679215,3,drop growth,0.9589654803276062,44.0
l1,6463343,1,fly kids,0.9554464817047119,37.0
l1,6463343,1,teach kids,0.9554355144500732,16.0
l1,4343902,4,fly kids,0.9552287459373474,38.0
l1,7056020,2,drop growth,0.9567618370056152,44.0
l1,679215,3,fly kids,0.9556146860122681,37.0
l1,4343902,4,teach kids,0.9575515985488892,17.0
l1,679215,3,teach kids,0.9554131031036377,16.0
l1,7056020,2,fly kids,0.9551917314529419,38.0
l1,6463343,1,buy blame,0.9560562372207642,45.0
l1,7056020,2,teach kids,0.9583326578140259,17.0
l1,4343902,4,buy blame,0.955077588558197,45.0
l1,679215,3,buy blame,0.9593896269798279,46.0
l1,6463343,1,shift blame,0.9605975151062012,43.0
l1,6463343,1,feel pain,0.9552602171897888,8.0
l1,7056020,2,buy blame,0.9609388709068298,46.0
l1,4343902,4,shift blame,0.9571923017501831,41.0
l1,6463343,1,waste pain,0.9563738107681274,17.0
l1,679215,3,shift blame,0.9609199166297913,43.0
l1,4343902,4,feel pain,0.9575866460800171,9.0
l1,679215,3,feel pain,0.9570882320404053,9.0
l1,6463343,1,raise doubts,0.9573473334312439,21.0
l1,4343902,4,waste pain,0.9554904103279114,17.0
l1,7056020,2,shift blame,0.9616966247558594,43.0
l1,679215,3,waste pain,0.9564629793167114,18.0
l1,7056020,2,feel pain,0.9582021236419678,9.0
l1,4343902,4,raise doubts,0.9582604169845581,21.0
l1,7056020,2,waste pain,0.9561076760292053,17.0
l1,679215,3,raise doubts,0.9580825567245483,21.0
l1,6463343,1,take doubts,0.9592077732086182,47.0
l1,679215,3,take doubts,0.9580546021461487,47.0
l1,4343902,4,take doubts,0.9589085578918457,47.0
l1,7056020,2,raise doubts,0.9584280252456665,20.0
l1,679215,3,catch fire,0.9568254351615906,14.0
l1,4343902,4,catch fire,0.956400990486145,14.0
l1,6463343,1,catch fire,0.9567155838012695,14.0
l1,679215,3,cut fire,0.957160234451294,21.0
l1,4343902,4,cut fire,0.9566245079040527,21.0
l1,6463343,1,cut fire,0.9569492340087891,21.0
