mode,id,participant,item,act,rt
l1,6463343,1,kick love,0.9583371877670288,22.0
l1,679215,3,kick love,0.9560022950172424,19.0
l1,7056020,2,kick love,0.957269012928009,19.0
l1,4343902,4,kick love,0.9580113887786865,21.0
l1,679215,3,show love,0.9584380388259888,10.0
l1,7056020,2,show love,0.9554851055145264,10.0
l1,4343902,4,show love,0.9582018852233887,10.0
l1,6463343,1,show love,0.9566285610198975,10.0
l1,679215,3,enter flags,0.9563881158828735,17.0
l1,6463343,1,enter flags,0.95834881067276,18.0
l1,4343902,4,enter flags,0.9562013149261475,18.0
l1,679215,3,fly flags,0.9600448608398438,14.0
l1,7056020,2,enter flags,0.9580121040344238,18.0
l1,6463343,1,fly flags,0.9588364958763123,14.0
l1,4343902,4,fly flags,0.9565616846084595,14.0
l1,6463343,1,buy tickets,0.9599639177322388,8.0
l1,679215,3,buy tickets,0.9606878161430359,8.0
l1,6463343,1,feel tickets,0.9561271667480469,10.0
l1,7056020,2,fly flags,0.958185076713562,14.0
l1,7056020,2,buy tickets,0.9623661041259766,8.0
l1,6463343,1,read dogs,0.956819474697113,17.0
l1,4343902,4,buy tickets,0.9603031277656555,8.0
l1,7056020,2,feel tickets,0.957258939743042,10.0
l1,6463343,1,walk dogs ,0.9612630009651184,12.0
l1,679215,3,feel tickets,0.9561777114868164,10.0
l1,6463343,1,hide songs,0.9560822248458862,10.0
l1,4343902,4,feel tickets,0.9561405181884766,10.0
l1,6463343,1,sing songs,0.9594522714614868,8.0
l1,7056020,2,read dogs,0.958187460899353,29.0
l1,679215,3,read dogs,0.9571261405944824,28.0
l1,4343902,4,read dogs,0.9550601243972778,18.0
l1,7056020,2,walk dogs ,0.9591731429100037,12.0
l1,679215,3,walk dogs ,0.95933997631073,12.0
l1,6463343,1,bend coal,0.9565775394439697,36.0
l1,4343902,4,walk dogs ,0.9593263268470764,12.0
l1,7056020,2,hide songs,0.9558196663856506,10.0
l1,679215,3,hide songs,0.9568288922309875,10.0
l1,7056020,2,sing songs,0.9592611789703369,8.0
l1,679215,3,sing songs,0.9611778259277344,8.0
l1,6463343,1,burn coal,0.9556360244750977,15.0
l1,4343902,4,hide songs,0.9572163820266724,10.0
l1,4343902,4,sing songs,0.9604714512825012,8.0
l1,6463343,1,build houses,0.9564579725265503,7.0
l1,7056020,2,bend coal,0.9564218521118164,39.0
l1,679215,3,bend coal,0.9554038047790527,37.0
l1,6463343,1,chase houses,0.9568422436714172,24.0
l1,7056020,2,burn coal,0.9569802284240723,16.0
l1,4343902,4,bend coal,0.9553574919700623,46.0
l1,6463343,1,drink beer,0.959382176399231,11.0
l1,7056020,2,build houses,0.9619976282119751,8.0
l1,679215,3,burn coal,0.9566917419433594,15.0
l1,4343902,4,burn coal,0.9552853107452393,15.0
l1,679215,3,build houses,0.9619470238685608,8.0
l1,4343902,4,build houses,0.9552160501480103,7.0
l1,7056020,2,chase houses,0.9575415253639221,25.0
l1,6463343,1,show beer,0.9567750096321106,23.0
l1,679215,3,chase houses,0.9550398588180542,22.0
l1,7056020,2,drink beer,0.9627519249916077,11.0
l1,4343902,4,chase houses,0.9567197561264038,23.0
l1,679215,3,drink beer,0.9608573913574219,11.0
l1,6463343,1,burn smells,0.9581729173660278,18.0
l1,4343902,4,drink beer,0.9554727673530579,10.0
l1,7056020,2,show beer,0.9563217163085938,24.0
l1,679215,3,show beer,0.956597089767456,23.0
l1,6463343,1,mask smells,0.9561741352081299,23.0
l1,7056020,2,burn smells,0.9585833549499512,19.0
l1,4343902,4,show beer,0.9611546993255615,26.0
l1,679215,3,burn smells,0.9555485844612122,17.0
l1,4343902,4,burn smells,0.9578129053115845,18.0
l1,679215,3,mask smells,0.9563260674476624,22.0
l1,7056020,2,mask smells,0.9576847553253174,23.0
l1,6463343,1,crack promises,0.9576297998428345,24.0
l1,4343902,4,mask smells,0.9557230472564697,23.0
l1,679215,3,crack promises,0.9551061391830444,22.0
l1,6463343,1,keep promises,0.9608959555625916,12.0
l1,7056020,2,crack promises,0.9574308395385742,23.0
l1,679215,3,keep promises,0.9591223001480103,12.0
l1,6463343,1,enter contests,0.9601117372512817,12.0
l1,7056020,2,keep promises,0.9553471803665161,11.0
l1,4343902,4,crack promises,0.9557536840438843,24.0
l1,679215,3,enter contests,0.9620459079742432,12.0
l1,7056020,2,enter contests,0.9588350057601929,12.0
l1,6463343,1,push contests,0.9579881429672241,7.0
l1,679215,3,push contests,0.9580170512199402,7.0
l1,4343902,4,keep promises,0.9596472978591919,12.0
l1,6463343,1,earn trust,0.9616585969924927,13.0
l1,4343902,4,enter contests,0.958583414554596,12.0
l1,679215,3,earn trust,0.9578377604484558,13.0
l1,6463343,1,eat trust,0.956132173538208,17.0
l1,4343902,4,push contests,0.9574830532073975,7.0
l1,6463343,1,foot bills,0.9561734199523926,11.0
l1,4343902,4,earn trust,0.9589460492134094,13.0
l1,679215,3,eat trust,0.9572134017944336,19.0
l1,7056020,2,push contests,0.9570163488388062,7.0
l1,4343902,4,eat trust,0.9558799266815186,18.0
l1,6463343,1,catch bills,0.9728118181228638,21.0
l1,7056020,2,earn trust,0.9616744518280029,13.0
l1,4343902,4,foot bills,0.9582445621490479,11.0
l1,679215,3,foot bills,0.9604539275169373,11.0
l1,7056020,2,eat trust,0.9556673169136047,17.0
l1,6463343,1,fight accounts,0.9687593579292297,21.0
l1,4343902,4,catch bills,0.9683035612106323,21.0
l1,679215,3,catch bills,0.9631649851799011,20.0
l1,7056020,2,foot bills,0.9610879421234131,11.0
l1,6463343,1,freeze accounts,0.9569337964057922,20.0
l1,4343902,4,fight accounts,0.9691601991653442,21.0
l1,679215,3,fight accounts,0.9672244787216187,21.0
l1,7056020,2,catch bills,0.9735310077667236,21.0
l1,6463343,1,drive growth,0.957607626914978,9.0
l1,679215,3,freeze accounts,0.9561235904693604,20.0
l1,7056020,2,fight accounts,0.9686538577079773,21.0
l1,679215,3,drive growth,0.9584967494010925,9.0
l1,6463343,1,drop growth,0.9559494853019714,32.0
l1,4343902,4,freeze accounts,0.9557530879974365,23.0
l1,7056020,2,freeze accounts,0.9580336809158325,21.0
l1,4343902,4,drive growth,0.957613468170166,9.0
l1,6463343,1,fly kids,0.9580731391906738,13.0
l1,7056020,2,drive growth,0.9566173553466797,9.0
l1,6463343,1,teach kids,0.9595568776130676,10.0
l1,679215,3,drop growth,0.956483781337738,31.0
l1,7056020,2,drop growth,0.9551088213920593,14.0
l1,4343902,4,drop growth,0.9565163850784302,30.0
l1,6463343,1,buy blame,0.9742510914802551,20.0
l1,7056020,2,fly kids,0.9557890892028809,13.0
l1,4343902,4,fly kids,0.9576719403266907,13.0
l1,7056020,2,teach kids,0.9578726887702942,10.0
l1,679215,3,fly kids,0.9577916264533997,13.0
l1,6463343,1,shift blame,0.9573894739151001,23.0
l1,679215,3,teach kids,0.9594059586524963,10.0
l1,7056020,2,buy blame,0.9575423002243042,19.0
l1,4343902,4,teach kids,0.9589275121688843,10.0
l1,679215,3,buy blame,0.9571001529693604,19.0
l1,6463343,1,feel pain,0.9596638679504395,10.0
l1,6463343,1,waste pain,0.9584066867828369,7.0
l1,4343902,4,buy blame,0.974982500076294,20.0
l1,7056020,2,shift blame,0.956828236579895,22.0
l1,679215,3,shift blame,0.9572237730026245,21.0
l1,6463343,1,raise doubts,0.9590219855308533,13.0
l1,679215,3,feel pain,0.9573410749435425,10.0
l1,4343902,4,shift blame,0.9554377794265747,21.0
l1,7056020,2,feel pain,0.9598945379257202,10.0
l1,679215,3,waste pain,0.9576366543769836,7.0
l1,6463343,1,take doubts,0.9573636651039124,15.0
l1,7056020,2,waste pain,0.9564177989959717,7.0
l1,4343902,4,feel pain,0.9573667049407959,10.0
l1,6463343,1,catch fire,0.9566370248794556,9.0
l1,4343902,4,waste pain,0.9591028690338135,7.0
l1,679215,3,raise doubts,0.960824728012085,14.0
l1,7056020,2,raise doubts,0.9569463729858398,12.0
l1,6463343,1,cut fire,0.9559473395347595,12.0
l1,4343902,4,raise doubts,0.960331916809082,13.0
l1,7056020,2,take doubts,0.9569275975227356,14.0
l1,679215,3,take doubts,0.956068754196167,26.0
l1,6463343,1,bring boundaries,0.9694951772689819,22.0
l1,4343902,4,take doubts,0.9575748443603516,14.0
l1,6463343,1,push boundaries,0.9551783204078674,8.0
l1,7056020,2,catch fire,0.9605311155319214,10.0
l1,4343902,4,catch fire,0.9564148187637329,9.0
l1,679215,3,catch fire,0.9598522186279297,10.0
l1,6463343,1,cross costs,0.9581035375595093,12.0
l1,7056020,2,cut fire,0.9584106802940369,13.0
l1,4343902,4,cut fire,0.9555755257606506,12.0
l1,679215,3,cut fire,0.9569520354270935,13.0
l1,6463343,1,cut costs,0.9602630138397217,10.0
l1,7056020,2,bring boundaries,0.9668684005737305,22.0
l1,4343902,4,bring boundaries,0.9559835195541382,21.0
l1,679215,3,bring boundaries,0.9683949947357178,22.0
l1,7056020,2,push boundaries,0.9552933573722839,9.0
l1,4343902,4,push boundaries,0.9550298452377319,9.0
l1,679215,3,push boundaries,0.9559922218322754,8.0
l1,6463343,1,hear habit,0.9624505043029785,24.0
l1,7056020,2,cross costs,0.960424542427063,13.0
l1,4343902,4,cross costs,0.9603469967842102,13.0
l1,679215,3,cross costs,0.9592162370681763,13.0
l1,7056020,2,cut costs,0.9568691253662109,10.0
l1,4343902,4,cut costs,0.9583156108856201,10.0
l1,679215,3,cut costs,0.9568954706192017,10.0
l1,6463343,1,kick habit,0.957332193851471,21.0
l1,6463343,1,pay taxes,0.9585728645324707,7.0
l1,7056020,2,hear habit,0.9595436453819275,24.0
l1,4343902,4,hear habit,0.9570851922035217,24.0
l1,679215,3,hear habit,0.9618194103240967,24.0
l1,6463343,1,wash taxes,0.959092915058136,17.0
l1,7056020,2,kick habit,0.9553666114807129,18.0
l1,6463343,1,break windows,0.9562968015670776,14.0
l1,4343902,4,kick habit,0.9562169313430786,20.0
l1,679215,3,kick habit,0.9589003324508667,19.0
l1,4343902,4,pay taxes,0.9578225612640381,7.0
l1,679215,3,pay taxes,0.9582114815711975,7.0
l1,7056020,2,pay taxes,0.958760678768158,7.0
l1,6463343,1,walk windows,0.9572244882583618,27.0
l1,4343902,4,wash taxes,0.9568876028060913,16.0
l1,679215,3,wash taxes,0.959213137626648,17.0
l1,7056020,2,wash taxes,0.9579923152923584,16.0
l1,6463343,1,drink books,0.9587689638137817,15.0
l1,4343902,4,break windows,0.9587509036064148,13.0
l1,679215,3,break windows,0.9587304592132568,13.0
l1,7056020,2,break windows,0.9596010446548462,14.0
l1,6463343,1,sell books,0.960761308670044,11.0
l1,679215,3,walk windows,0.9550954103469849,21.0
l1,4343902,4,walk windows,0.9593730568885803,31.0
l1,6463343,1,earn dishes,0.9696342945098877,19.0
l1,7056020,2,walk windows,0.9598336219787598,29.0
l1,679215,3,drink books,0.9575132131576538,14.0
l1,6463343,1,wash dishes,0.9588403105735779,13.0
l1,679215,3,sell books,0.9581087231636047,10.0
l1,7056020,2,drink books,0.9575631618499756,15.0
l1,4343902,4,drink books,0.9577668905258179,15.0
l1,6463343,1,foot minds,0.9566882848739624,12.0
l1,7056020,2,sell books,0.9596715569496155,11.0
l1,679215,3,earn dishes,0.9684135913848877,19.0
l1,6463343,1,read minds,0.961301326751709,11.0
l1,4343902,4,sell books,0.959420382976532,11.0
l1,7056020,2,earn dishes,0.9700809717178345,19.0
l1,679215,3,wash dishes,0.9585584402084351,13.0
l1,6463343,1,lose goals,0.9559300541877747,11.0
l1,679215,3,foot minds,0.9606499671936035,12.0
l1,4343902,4,earn dishes,0.9738627076148987,19.0
l1,6463343,1,meet goals,0.9567241668701172,8.0
l1,7056020,2,wash dishes,0.9564600586891174,12.0
l1,679215,3,read minds,0.9594106674194336,11.0
l1,6463343,1,bring peace,0.9598819017410278,10.0
l1,7056020,2,foot minds,0.9614572525024414,12.0
l1,679215,3,lose goals,0.9569940567016602,11.0
l1,4343902,4,wash dishes,0.9600620269775391,13.0
l1,679215,3,meet goals,0.957535982131958,8.0
l1,6463343,1,meet peace,0.9594963788986206,13.0
l1,679215,3,bring peace,0.961037814617157,10.0
l1,4343902,4,foot minds,0.9586745500564575,12.0
l1,6463343,1,eat fish,0.9566460847854614,10.0
l1,679215,3,meet peace,0.9605299830436707,13.0
l1,7056020,2,read minds,0.9577498435974121,10.0
l1,6463343,1,lift fish,0.9559621810913086,16.0
l1,4343902,4,read minds,0.9606356024742126,11.0
l1,679215,3,eat fish,0.9563776254653931,10.0
l1,7056020,2,lose goals,0.9566613435745239,11.0
l1,6463343,1,lose weight,0.9593242406845093,7.0
l1,7056020,2,meet goals,0.9579876065254211,8.0
l1,4343902,4,lose goals,0.9564728736877441,11.0
l1,679215,3,lift fish,0.9568012952804565,16.0
l1,6463343,1,sell weight,0.9579086303710938,12.0
