mode,id,participant,item,act,rt
l1,4343902,4,kick love,0.9574346542358398,20.0
l1,6463343,1,kick love,0.9558854103088379,22.0
l1,4343902,4,show love,0.9578396677970886,11.0
l1,679215,3,kick love,0.9568318128585815,20.0
l1,6463343,1,show love,0.9578731060028076,11.0
l1,679215,3,show love,0.9599266052246094,11.0
l1,7056020,2,kick love,0.956646203994751,18.0
l1,4343902,4,enter flags,0.9554029703140259,20.0
l1,7056020,2,show love,0.961042046546936,12.0
l1,6463343,1,enter flags,0.9550767540931702,20.0
l1,679215,3,enter flags,0.9558663368225098,20.0
l1,4343902,4,fly flags,0.9598529934883118,16.0
l1,6463343,1,fly flags,0.9593584537506104,16.0
l1,4343902,4,buy tickets,0.9596096277236938,9.0
l1,6463343,1,buy tickets,0.9594131112098694,9.0
l1,7056020,2,enter flags,0.9568044543266296,21.0
l1,679215,3,fly flags,0.9588384628295898,16.0
l1,4343902,4,feel tickets,0.9572319388389587,12.0
l1,6463343,1,feel tickets,0.957089364528656,12.0
l1,679215,3,buy tickets,0.9596869945526123,9.0
l1,7056020,2,fly flags,0.958202064037323,16.0
l1,679215,3,feel tickets,0.9579353332519531,12.0
l1,7056020,2,buy tickets,0.9603618383407593,9.0
l1,4343902,4,read dogs,0.9601781368255615,26.0
l1,6463343,1,read dogs,0.9564428925514221,26.0
l1,7056020,2,feel tickets,0.9577877521514893,12.0
l1,4343902,4,walk dogs ,0.9602658152580261,14.0
l1,6463343,1,walk dogs ,0.9554893374443054,13.0
l1,679215,3,read dogs,0.9603208899497986,26.0
l1,4343902,4,hide songs,0.9567592144012451,11.0
l1,6463343,1,hide songs,0.9574048519134521,11.0
l1,7056020,2,read dogs,0.9579944014549255,23.0
l1,679215,3,walk dogs ,0.9599456191062927,14.0
l1,4343902,4,sing songs,0.9588721394538879,9.0
l1,6463343,1,sing songs,0.9597790837287903,9.0
l1,679215,3,hide songs,0.9577181935310364,11.0
l1,7056020,2,walk dogs ,0.9597456455230713,14.0
l1,679215,3,sing songs,0.9600578546524048,9.0
l1,7056020,2,hide songs,0.9598785638809204,11.0
l1,6463343,1,bend coal,0.9565783739089966,28.0
l1,7056020,2,sing songs,0.962502658367157,9.0
l1,6463343,1,burn coal,0.9592113494873047,16.0
l1,679215,3,bend coal,0.9569653272628784,31.0
l1,4343902,4,bend coal,0.9562854170799255,32.0
l1,6463343,1,build houses,0.9586532711982727,7.0
l1,679215,3,burn coal,0.9581235647201538,15.0
l1,4343902,4,burn coal,0.9564239382743835,15.0
l1,7056020,2,bend coal,0.9570024013519287,31.0
l1,4343902,4,build houses,0.9604877829551697,7.0
l1,6463343,1,chase houses,0.9551944136619568,25.0
l1,679215,3,build houses,0.9610934257507324,7.0
l1,7056020,2,burn coal,0.955949604511261,16.0
l1,6463343,1,drink beer,0.9554048776626587,9.0
l1,7056020,2,build houses,0.9599550366401672,7.0
l1,4343902,4,chase houses,0.9565777778625488,26.0
l1,6463343,1,show beer,0.9573504328727722,15.0
l1,679215,3,chase houses,0.9570666551589966,23.0
l1,4343902,4,drink beer,0.9556971192359924,9.0
l1,679215,3,drink beer,0.9619084596633911,10.0
l1,7056020,2,chase houses,0.9552738666534424,25.0
l1,6463343,1,burn smells,0.9568797945976257,18.0
l1,4343902,4,show beer,0.9570782780647278,15.0
l1,7056020,2,drink beer,0.9576094746589661,9.0
l1,679215,3,show beer,0.9557482600212097,17.0
l1,6463343,1,mask smells,0.9573804140090942,19.0
l1,7056020,2,show beer,0.9579004049301147,15.0
l1,4343902,4,burn smells,0.9586445093154907,18.0
l1,679215,3,burn smells,0.957023024559021,17.0
l1,6463343,1,crack promises,0.9553748369216919,23.0
l1,7056020,2,burn smells,0.957343339920044,19.0
l1,679215,3,mask smells,0.9569188356399536,18.0
l1,6463343,1,keep promises,0.9611785411834717,11.0
l1,4343902,4,mask smells,0.9600669145584106,18.0
l1,7056020,2,mask smells,0.956290602684021,18.0
l1,6463343,1,enter contests,0.9570374488830566,13.0
l1,679215,3,crack promises,0.9562230110168457,24.0
l1,6463343,1,push contests,0.9552582502365112,9.0
l1,4343902,4,crack promises,0.9575231075286865,24.0
l1,679215,3,keep promises,0.9578149914741516,11.0
l1,4343902,4,keep promises,0.9582172632217407,11.0
l1,6463343,1,earn trust,0.960498034954071,10.0
l1,679215,3,enter contests,0.9561053514480591,13.0
l1,4343902,4,enter contests,0.9600590467453003,14.0
l1,7056020,2,crack promises,0.9568453431129456,23.0
l1,679215,3,push contests,0.9557298421859741,9.0
l1,4343902,4,push contests,0.9561737179756165,9.0
l1,7056020,2,keep promises,0.9579286575317383,11.0
l1,6463343,1,eat trust,0.9570697546005249,13.0
