mode,id,participant,item,act,rt
l1,6463343,1,kick love,0.9572822451591492,19.0
l1,6463343,1,show love,0.9561399221420288,11.0
l1,4343902,4,kick love,0.9583075046539307,17.0
l1,679215,3,kick love,0.9575964212417603,17.0
l1,7056020,2,kick love,0.9607064723968506,16.0
l1,4343902,4,show love,0.9561725854873657,11.0
l1,679215,3,show love,0.9587314128875732,11.0
l1,7056020,2,show love,0.9601104259490967,12.0
l1,6463343,1,enter flags,0.9556838274002075,22.0
l1,4343902,4,enter flags,0.9565138220787048,22.0
l1,679215,3,enter flags,0.9577004313468933,22.0
l1,6463343,1,fly flags,0.9562554359436035,16.0
l1,7056020,2,enter flags,0.9553142786026001,22.0
l1,6463343,1,buy tickets,0.9563957452774048,9.0
l1,4343902,4,fly flags,0.9568367600440979,16.0
l1,679215,3,fly flags,0.9560015201568604,16.0
l1,6463343,1,feel tickets,0.9553651809692383,12.0
l1,4343902,4,buy tickets,0.9564733505249023,9.0
l1,679215,3,buy tickets,0.9569365382194519,9.0
l1,7056020,2,fly flags,0.9598941206932068,17.0
l1,4343902,4,feel tickets,0.9554612636566162,12.0
l1,7056020,2,buy tickets,0.9577279090881348,9.0
l1,6463343,1,read dogs,0.9600394368171692,27.0
l1,679215,3,feel tickets,0.9563655853271484,12.0
l1,7056020,2,feel tickets,0.9564202427864075,12.0
l1,6463343,1,walk dogs ,0.9563511610031128,14.0
l1,4343902,4,read dogs,0.9572501182556152,26.0
l1,6463343,1,hide songs,0.9593925476074219,12.0
l1,7056020,2,read dogs,0.9553099870681763,23.0
l1,679215,3,read dogs,0.9574571847915649,26.0
l1,6463343,1,sing songs,0.9563542604446411,9.0
l1,4343902,4,walk dogs ,0.9604142308235168,15.0
l1,7056020,2,walk dogs ,0.9596378207206726,15.0
l1,4343902,4,hide songs,0.9583029747009277,12.0
l1,679215,3,walk dogs ,0.9600507020950317,15.0
l1,4343902,4,sing songs,0.9558092355728149,9.0
l1,6463343,1,bend coal,0.9584985971450806,28.0
l1,7056020,2,hide songs,0.9571202397346497,11.0
l1,679215,3,hide songs,0.9592072367668152,12.0
l1,6463343,1,burn coal,0.9568991661071777,15.0
l1,7056020,2,sing songs,0.9588297009468079,9.0
l1,679215,3,sing songs,0.956702709197998,9.0
l1,6463343,1,build houses,0.9551619291305542,7.0
l1,4343902,4,bend coal,0.9580575227737427,30.0
l1,7056020,2,bend coal,0.9578046798706055,26.0
l1,6463343,1,chase houses,0.9552463293075562,23.0
l1,679215,3,bend coal,0.9562842845916748,31.0
l1,4343902,4,burn coal,0.9583209753036499,15.0
l1,6463343,1,drink beer,0.9610655903816223,10.0
l1,7056020,2,burn coal,0.9592106342315674,16.0
l1,4343902,4,build houses,0.9570173621177673,7.0
l1,679215,3,burn coal,0.955562949180603,14.0
l1,7056020,2,build houses,0.9569281339645386,7.0
l1,679215,3,build houses,0.9574995636940002,7.0
l1,6463343,1,show beer,0.9569685459136963,15.0
l1,4343902,4,chase houses,0.9646425247192383,24.0
l1,7056020,2,chase houses,0.9561327695846558,23.0
l1,679215,3,chase houses,0.9620567560195923,25.0
l1,7056020,2,drink beer,0.9554492235183716,9.0
l1,6463343,1,burn smells,0.9590015411376953,18.0
l1,4343902,4,drink beer,0.9612255096435547,10.0
l1,679215,3,drink beer,0.9605047702789307,10.0
l1,7056020,2,show beer,0.9581022262573242,15.0
l1,6463343,1,mask smells,0.959205687046051,19.0
l1,4343902,4,show beer,0.9569087028503418,15.0
l1,679215,3,show beer,0.9553840160369873,16.0
l1,7056020,2,burn smells,0.9564982056617737,18.0
l1,4343902,4,burn smells,0.9570208191871643,17.0
l1,679215,3,burn smells,0.9552245736122131,16.0
l1,4343902,4,mask smells,0.9565641283988953,17.0
l1,6463343,1,crack promises,0.9571571946144104,21.0
l1,679215,3,mask smells,0.9575641751289368,18.0
