mode,id,participant,item,act,rt
l1,6463343,1,kick love,0.9679838418960571,18.0
l1,7056020,2,kick love,0.9682283401489258,18.0
l1,6463343,1,show love,0.9598787426948547,12.0
l1,7056020,2,show love,0.9569739103317261,12.0
l1,4343902,4,kick love,0.9606459140777588,17.0
l1,679215,3,kick love,0.9671635031700134,18.0
l1,6463343,1,enter flags,0.9590624570846558,21.0
l1,7056020,2,enter flags,0.9583583474159241,21.0
l1,679215,3,show love,0.9554039239883423,11.0
l1,4343902,4,show love,0.9588051438331604,12.0
l1,6463343,1,fly flags,0.9593269228935242,22.0
l1,7056020,2,fly flags,0.963191032409668,22.0
l1,679215,3,enter flags,0.9696743488311768,22.0
l1,6463343,1,buy tickets,0.9561090469360352,10.0
l1,7056020,2,buy tickets,0.9591502547264099,10.0
l1,4343902,4,enter flags,0.9694039821624756,22.0
l1,6463343,1,feel tickets,0.9583297967910767,15.0
l1,7056020,2,feel tickets,0.957450270652771,14.0
l1,4343902,4,fly flags,0.9598480463027954,22.0
l1,679215,3,fly flags,0.9583626389503479,22.0
l1,6463343,1,read dogs,0.9616754055023193,20.0
l1,7056020,2,read dogs,0.9603536128997803,20.0
l1,679215,3,buy tickets,0.9588310718536377,10.0
l1,4343902,4,buy tickets,0.9581108093261719,10.0
l1,6463343,1,walk dogs ,0.9573904275894165,20.0
l1,679215,3,feel tickets,0.9581505060195923,14.0
l1,4343902,4,feel tickets,0.9567872285842896,14.0
l1,7056020,2,walk dogs ,0.9672067165374756,20.0
l1,6463343,1,hide songs,0.9582180380821228,12.0
l1,7056020,2,hide songs,0.9558181762695312,11.0
l1,6463343,1,sing songs,0.959651529788971,10.0
l1,4343902,4,read dogs,0.9579233527183533,20.0
l1,7056020,2,sing songs,0.9568029046058655,9.0
l1,679215,3,read dogs,0.9572675824165344,20.0
l1,4343902,4,walk dogs ,0.9596743583679199,20.0
l1,6463343,1,bend coal,0.9579430818557739,24.0
l1,7056020,2,bend coal,0.9574298858642578,23.0
l1,679215,3,walk dogs ,0.9580022692680359,20.0
l1,4343902,4,hide songs,0.9594050645828247,12.0
l1,6463343,1,burn coal,0.9583762884140015,16.0
l1,679215,3,hide songs,0.9583891034126282,12.0
l1,4343902,4,sing songs,0.9551043510437012,9.0
l1,6463343,1,build houses,0.9615186452865601,7.0
l1,679215,3,sing songs,0.9602264165878296,10.0
l1,7056020,2,burn coal,0.9573724865913391,16.0
l1,4343902,4,bend coal,0.9561148881912231,23.0
l1,6463343,1,chase houses,0.9580170512199402,21.0
l1,7056020,2,build houses,0.9612013697624207,7.0
l1,679215,3,bend coal,0.956856369972229,25.0
l1,6463343,1,drink beer,0.959205150604248,9.0
l1,4343902,4,burn coal,0.9565393328666687,16.0
l1,4343902,4,build houses,0.9615485072135925,7.0
l1,7056020,2,chase houses,0.9616261124610901,21.0
l1,6463343,1,show beer,0.9591884613037109,14.0
l1,679215,3,burn coal,0.9581772089004517,16.0
l1,679215,3,build houses,0.9555884003639221,6.0
l1,7056020,2,drink beer,0.9600356817245483,9.0
l1,4343902,4,chase houses,0.9669592380523682,21.0
l1,6463343,1,burn smells,0.9573348164558411,19.0
l1,7056020,2,show beer,0.9592505693435669,14.0
l1,4343902,4,drink beer,0.9590879082679749,9.0
l1,679215,3,chase houses,0.9572443962097168,21.0
l1,6463343,1,mask smells,0.9558970332145691,16.0
l1,679215,3,drink beer,0.9571343064308167,9.0
l1,4343902,4,show beer,0.9590435028076172,14.0
l1,7056020,2,burn smells,0.9567708969116211,19.0
l1,679215,3,show beer,0.9562346935272217,14.0
