mode,id,participant,item,act,rt
l1,6463343,1,kick love,0.9629719257354736,18.0
l1,4343902,4,kick love,0.956183135509491,17.0
l1,7056020,2,kick love,0.9621571898460388,18.0
l1,6463343,1,show love,0.9584228992462158,12.0
l1,7056020,2,show love,0.9553558230400085,12.0
l1,4343902,4,show love,0.9571546316146851,12.0
l1,679215,3,kick love,0.9607677459716797,18.0
l1,6463343,1,enter flags,0.9555730819702148,22.0
l1,7056020,2,enter flags,0.9559749364852905,22.0
l1,679215,3,show love,0.9597318172454834,12.0
l1,4343902,4,enter flags,0.966222882270813,23.0
l1,6463343,1,fly flags,0.9614050388336182,23.0
l1,7056020,2,fly flags,0.9657084345817566,23.0
l1,679215,3,enter flags,0.9669862985610962,23.0
l1,4343902,4,fly flags,0.9625723361968994,23.0
l1,6463343,1,buy tickets,0.9598379135131836,11.0
l1,7056020,2,buy tickets,0.9572752714157104,10.0
l1,4343902,4,buy tickets,0.9560956954956055,10.0
l1,6463343,1,feel tickets,0.9575330018997192,15.0
l1,679215,3,fly flags,0.9611796736717224,23.0
l1,7056020,2,feel tickets,0.9566163420677185,14.0
l1,4343902,4,feel tickets,0.955955982208252,14.0
l1,679215,3,buy tickets,0.9568350315093994,10.0
l1,6463343,1,read dogs,0.9595243334770203,21.0
l1,7056020,2,read dogs,0.9589992165565491,21.0
l1,679215,3,feel tickets,0.9571738243103027,14.0
l1,4343902,4,read dogs,0.955344021320343,21.0
l1,6463343,1,walk dogs ,0.9667953252792358,23.0
l1,7056020,2,walk dogs ,0.9640065431594849,22.0
l1,679215,3,read dogs,0.9552226066589355,21.0
l1,4343902,4,walk dogs ,0.9694417119026184,23.0
l1,7056020,2,hide songs,0.957518994808197,12.0
l1,6463343,1,hide songs,0.9585970044136047,13.0
l1,4343902,4,hide songs,0.9557086229324341,12.0
l1,679215,3,walk dogs ,0.9687790274620056,23.0
l1,6463343,1,sing songs,0.9560220241546631,10.0
l1,4343902,4,sing songs,0.9570799469947815,10.0
l1,679215,3,hide songs,0.958580493927002,13.0
l1,7056020,2,sing songs,0.9595314264297485,10.0
l1,679215,3,sing songs,0.9562509655952454,10.0
l1,6463343,1,bend coal,0.9561951756477356,24.0
