mode,id,participant,item,act,rt
l1,679215,3,kick love,0.9552890062332153,19.0
l1,679215,3,show love,0.9582992792129517,10.0
l1,7056020,2,kick love,0.956572949886322,19.0
l1,679215,3,enter flags,0.9552171230316162,17.0
l1,4343902,4,kick love,0.9575525522232056,21.0
l1,7056020,2,show love,0.9551778435707092,10.0
l1,6463343,1,kick love,0.9578086733818054,22.0
l1,679215,3,fly flags,0.9596070051193237,14.0
l1,4343902,4,show love,0.958014965057373,10.0
l1,6463343,1,show love,0.9564111828804016,10.0
l1,679215,3,buy tickets,0.9605976939201355,8.0
l1,679215,3,feel tickets,0.9557287693023682,10.0
l1,4343902,4,enter flags,0.9586070775985718,19.0
l1,6463343,1,enter flags,0.9574102163314819,18.0
l1,7056020,2,enter flags,0.9570287466049194,18.0
l1,4343902,4,fly flags,0.9560117721557617,14.0
l1,6463343,1,fly flags,0.9583642482757568,14.0
l1,4343902,4,buy tickets,0.9602319598197937,8.0
l1,679215,3,read dogs,0.9563678503036499,28.0
l1,6463343,1,buy tickets,0.9598812460899353,8.0
l1,4343902,4,feel tickets,0.9557056427001953,10.0
l1,6463343,1,feel tickets,0.9556955099105835,10.0
l1,7056020,2,fly flags,0.9577338695526123,14.0
l1,679215,3,walk dogs ,0.9591564536094666,12.0
l1,7056020,2,buy tickets,0.9623044729232788,8.0
l1,6463343,1,read dogs,0.9574233889579773,17.0
l1,679215,3,hide songs,0.957194447517395,10.0
l1,7056020,2,feel tickets,0.9567725658416748,10.0
l1,6463343,1,walk dogs ,0.9611392021179199,12.0
l1,4343902,4,read dogs,0.9556947946548462,18.0
l1,6463343,1,hide songs,0.9564860463142395,10.0
l1,4343902,4,walk dogs ,0.959114670753479,12.0
l1,6463343,1,sing songs,0.9596238732337952,8.0
l1,679215,3,sing songs,0.9612654447555542,8.0
l1,7056020,2,read dogs,0.9572345018386841,29.0
l1,4343902,4,hide songs,0.9575775265693665,10.0
l1,7056020,2,walk dogs ,0.9590389132499695,12.0
l1,4343902,4,sing songs,0.9606055021286011,8.0
l1,7056020,2,hide songs,0.9562588334083557,10.0
