mode,id,participant,item,act,rt
l1,7056020,2,kick love,0.9551711082458496,18.0
l1,7056020,2,show love,0.9598525762557983,12.0
l1,679215,3,kick love,0.9568748474121094,22.0
l1,7056020,2,enter flags,0.9568426609039307,28.0
l1,6463343,1,kick love,0.9564953446388245,22.0
l1,679215,3,show love,0.9581713080406189,11.0
l1,4343902,4,kick love,0.956583559513092,19.0
l1,7056020,2,fly flags,0.9585069417953491,17.0
l1,6463343,1,show love,0.9565517902374268,11.0
l1,4343902,4,show love,0.9555759429931641,11.0
l1,679215,3,enter flags,0.9569191336631775,27.0
l1,7056020,2,buy tickets,0.9579182267189026,9.0
l1,6463343,1,enter flags,0.9552266001701355,29.0
l1,679215,3,fly flags,0.9556360244750977,17.0
l1,4343902,4,enter flags,0.9552432298660278,29.0
l1,7056020,2,feel tickets,0.9590568542480469,13.0
l1,679215,3,buy tickets,0.957868218421936,9.0
l1,6463343,1,fly flags,0.9556777477264404,16.0
l1,4343902,4,fly flags,0.9550724625587463,16.0
l1,6463343,1,buy tickets,0.9563227295875549,9.0
l1,4343902,4,buy tickets,0.9567588567733765,9.0
l1,7056020,2,read dogs,0.958024799823761,23.0
l1,679215,3,feel tickets,0.9596648812294006,13.0
l1,6463343,1,feel tickets,0.9582081437110901,13.0
l1,4343902,4,feel tickets,0.9583720564842224,13.0
l1,7056020,2,walk dogs ,0.9611293077468872,15.0
l1,679215,3,read dogs,0.9563584327697754,23.0
l1,6463343,1,read dogs,0.956621527671814,23.0
l1,4343902,4,read dogs,0.9558038115501404,22.0
l1,7056020,2,hide songs,0.9590497016906738,11.0
l1,679215,3,walk dogs ,0.9604222178459167,15.0
l1,7056020,2,sing songs,0.9606491923332214,9.0
l1,6463343,1,walk dogs ,0.9608945250511169,15.0
l1,4343902,4,walk dogs ,0.9582750797271729,15.0
l1,679215,3,hide songs,0.9567521810531616,11.0
l1,6463343,1,hide songs,0.9556359052658081,11.0
l1,4343902,4,hide songs,0.9561512470245361,11.0
l1,7056020,2,bend coal,0.956446647644043,27.0
l1,4343902,4,sing songs,0.9575200080871582,9.0
l1,679215,3,sing songs,0.9582643508911133,9.0
l1,6463343,1,sing songs,0.957244873046875,9.0
l1,7056020,2,burn coal,0.9578984975814819,16.0
l1,7056020,2,build houses,0.9606361985206604,7.0
l1,4343902,4,bend coal,0.9556328058242798,30.0
l1,679215,3,bend coal,0.9569234848022461,29.0
l1,6463343,1,bend coal,0.9586694836616516,28.0
l1,4343902,4,burn coal,0.9559369087219238,15.0
l1,7056020,2,chase houses,0.9565483927726746,26.0
l1,679215,3,burn coal,0.9570038318634033,15.0
l1,6463343,1,burn coal,0.9560732245445251,15.0
l1,7056020,2,drink beer,0.9587264657020569,9.0
l1,679215,3,build houses,0.9620591402053833,7.0
l1,4343902,4,build houses,0.9609984159469604,7.0
l1,6463343,1,build houses,0.9598305821418762,7.0
l1,7056020,2,show beer,0.9568167924880981,15.0
l1,679215,3,chase houses,0.9560796022415161,25.0
l1,4343902,4,chase houses,0.9554402828216553,26.0
l1,6463343,1,chase houses,0.9553269743919373,27.0
l1,679215,3,drink beer,0.9556776285171509,9.0
l1,4343902,4,drink beer,0.9578628540039062,9.0
l1,6463343,1,drink beer,0.9571750164031982,9.0
l1,7056020,2,burn smells,0.9559834003448486,18.0
l1,679215,3,show beer,0.9552682638168335,17.0
l1,4343902,4,show beer,0.9574077129364014,15.0
l1,6463343,1,show beer,0.9566751718521118,15.0
l1,7056020,2,mask smells,0.9573324918746948,17.0
l1,679215,3,burn smells,0.9562352299690247,17.0
l1,6463343,1,burn smells,0.9588098526000977,18.0
l1,7056020,2,crack promises,0.9579408764839172,22.0
l1,4343902,4,burn smells,0.9588998556137085,18.0
l1,679215,3,mask smells,0.9575946927070618,17.0
l1,6463343,1,mask smells,0.9564569592475891,18.0
l1,4343902,4,mask smells,0.959988534450531,17.0
l1,7056020,2,keep promises,0.9592256546020508,11.0
l1,679215,3,crack promises,0.9575087428092957,23.0
l1,6463343,1,crack promises,0.9566592574119568,23.0
l1,7056020,2,enter contests,0.959682822227478,14.0
l1,4343902,4,crack promises,0.9592674374580383,23.0
l1,679215,3,keep promises,0.9593601822853088,11.0
l1,6463343,1,keep promises,0.9551581740379333,10.0
l1,7056020,2,push contests,0.9563170075416565,10.0
l1,4343902,4,keep promises,0.9593920707702637,11.0
l1,7056020,2,earn trust,0.9616392254829407,10.0
l1,6463343,1,enter contests,0.9584776759147644,14.0
l1,679215,3,enter contests,0.9576776027679443,14.0
l1,6463343,1,push contests,0.9561636447906494,10.0
l1,4343902,4,enter contests,0.9613038301467896,15.0
l1,6463343,1,earn trust,0.955970823764801,9.0
l1,4343902,4,push contests,0.9575977325439453,10.0
l1,7056020,2,eat trust,0.9566335082054138,13.0
l1,679215,3,push contests,0.957088828086853,10.0
l1,6463343,1,eat trust,0.9571790099143982,13.0
l1,7056020,2,foot bills,0.9586840867996216,12.0
l1,4343902,4,earn trust,0.9610743522644043,10.0
l1,679215,3,earn trust,0.9609735012054443,10.0
l1,6463343,1,foot bills,0.9586818218231201,13.0
