mode,id,participant,item,act,rt
l1,6463343,1,kick love,0.9694141149520874,18.0
l1,7056020,2,kick love,0.9695159792900085,18.0
l1,6463343,1,show love,0.959984540939331,12.0
l1,679215,3,kick love,0.9686452150344849,18.0
l1,4343902,4,kick love,0.9614569544792175,17.0
l1,7056020,2,show love,0.9570121765136719,12.0
l1,679215,3,show love,0.9554485082626343,11.0
l1,6463343,1,enter flags,0.9574824571609497,21.0
l1,4343902,4,show love,0.9588582515716553,12.0
l1,7056020,2,enter flags,0.9567654132843018,21.0
l1,6463343,1,fly flags,0.9576772451400757,22.0
l1,679215,3,enter flags,0.9682612419128418,22.0
l1,6463343,1,buy tickets,0.9562598466873169,10.0
l1,4343902,4,enter flags,0.9679315090179443,22.0
l1,679215,3,fly flags,0.9566682577133179,22.0
l1,6463343,1,feel tickets,0.9582237005233765,15.0
l1,7056020,2,fly flags,0.9617294073104858,22.0
l1,679215,3,buy tickets,0.9589461088180542,10.0
l1,7056020,2,buy tickets,0.9592913389205933,10.0
l1,4343902,4,fly flags,0.9582151174545288,22.0
l1,6463343,1,read dogs,0.9610399007797241,20.0
l1,679215,3,feel tickets,0.9580250978469849,14.0
l1,4343902,4,buy tickets,0.9582465887069702,10.0
l1,7056020,2,feel tickets,0.9573225975036621,14.0
l1,6463343,1,walk dogs ,0.9554030895233154,20.0
l1,679215,3,read dogs,0.9565593004226685,20.0
l1,7056020,2,read dogs,0.9597859382629395,20.0
l1,4343902,4,feel tickets,0.9566493630409241,14.0
l1,679215,3,walk dogs ,0.9558659791946411,20.0
l1,6463343,1,hide songs,0.9588403701782227,12.0
l1,7056020,2,walk dogs ,0.9663764238357544,20.0
l1,4343902,4,read dogs,0.957308828830719,20.0
l1,6463343,1,sing songs,0.9598609209060669,10.0
l1,7056020,2,hide songs,0.9566968679428101,11.0
l1,679215,3,hide songs,0.9590250253677368,12.0
l1,7056020,2,sing songs,0.9570134282112122,9.0
l1,4343902,4,walk dogs ,0.9577142000198364,20.0
l1,679215,3,sing songs,0.9604480266571045,10.0
l1,6463343,1,bend coal,0.9572732448577881,24.0
l1,4343902,4,hide songs,0.9553494453430176,11.0
l1,6463343,1,burn coal,0.9590975046157837,16.0
l1,7056020,2,bend coal,0.9572986364364624,23.0
l1,679215,3,bend coal,0.9558497667312622,25.0
l1,6463343,1,build houses,0.9616153240203857,7.0
l1,4343902,4,sing songs,0.955353319644928,9.0
l1,7056020,2,burn coal,0.9581184387207031,16.0
l1,679215,3,burn coal,0.9588395357131958,16.0
l1,7056020,2,build houses,0.9613054394721985,7.0
l1,6463343,1,chase houses,0.9596284627914429,21.0
l1,679215,3,build houses,0.9556972980499268,6.0
l1,6463343,1,drink beer,0.9590696096420288,9.0
l1,4343902,4,bend coal,0.9560137987136841,23.0
l1,7056020,2,chase houses,0.9632034301757812,21.0
l1,6463343,1,show beer,0.9562711119651794,14.0
l1,679215,3,chase houses,0.9590679407119751,21.0
l1,4343902,4,burn coal,0.9573426246643066,16.0
l1,679215,3,drink beer,0.9572033286094666,9.0
l1,7056020,2,drink beer,0.9599493145942688,9.0
l1,4343902,4,build houses,0.9616478681564331,7.0
l1,6463343,1,burn smells,0.9556007385253906,18.0
l1,679215,3,show beer,0.9573108553886414,15.0
l1,4343902,4,chase houses,0.9570017457008362,20.0
l1,7056020,2,show beer,0.9563844799995422,14.0
l1,6463343,1,mask smells,0.9567168951034546,16.0
l1,4343902,4,drink beer,0.9589610695838928,9.0
l1,679215,3,burn smells,0.9561383128166199,18.0
l1,7056020,2,burn smells,0.9586805105209351,19.0
l1,6463343,1,crack promises,0.9671710133552551,20.0
l1,4343902,4,show beer,0.9561187624931335,14.0
l1,679215,3,mask smells,0.9573314189910889,15.0
l1,7056020,2,mask smells,0.9589298367500305,15.0
l1,6463343,1,keep promises,0.9564348459243774,10.0
l1,4343902,4,burn smells,0.958382248878479,19.0
l1,679215,3,crack promises,0.958409309387207,19.0
l1,7056020,2,crack promises,0.9611691236495972,19.0
l1,6463343,1,enter contests,0.9736198782920837,19.0
l1,679215,3,keep promises,0.9605882167816162,11.0
l1,4343902,4,mask smells,0.9594471454620361,15.0
l1,6463343,1,push contests,0.9643704295158386,21.0
l1,679215,3,enter contests,0.9752339124679565,19.0
l1,6463343,1,earn trust,0.9587691426277161,9.0
l1,4343902,4,crack promises,0.9630275964736938,19.0
l1,7056020,2,keep promises,0.9598067998886108,11.0
l1,6463343,1,eat trust,0.9593917727470398,13.0
l1,679215,3,push contests,0.9653592109680176,20.0
l1,4343902,4,keep promises,0.9602821469306946,11.0
l1,679215,3,earn trust,0.9580708742141724,9.0
l1,6463343,1,foot bills,0.9721871614456177,16.0
l1,4343902,4,enter contests,0.9573714733123779,18.0
l1,679215,3,eat trust,0.9590153098106384,13.0
l1,6463343,1,catch bills,0.9572250843048096,16.0
l1,4343902,4,push contests,0.955183744430542,19.0
l1,7056020,2,enter contests,0.9554446935653687,18.0
l1,4343902,4,earn trust,0.9579463005065918,9.0
l1,679215,3,foot bills,0.9723739624023438,16.0
l1,6463343,1,fight accounts,0.9645313024520874,20.0
l1,4343902,4,eat trust,0.9587046504020691,13.0
l1,7056020,2,push contests,0.9628962278366089,20.0
l1,679215,3,catch bills,0.9781046509742737,17.0
l1,7056020,2,earn trust,0.9580093622207642,9.0
l1,6463343,1,freeze accounts,0.9582185745239258,15.0
l1,4343902,4,foot bills,0.9550100564956665,15.0
l1,7056020,2,eat trust,0.959030270576477,13.0
l1,4343902,4,catch bills,0.9786909222602844,17.0
l1,679215,3,fight accounts,0.9560378789901733,19.0
l1,7056020,2,foot bills,0.971545934677124,16.0
l1,6463343,1,drive growth,0.9656389355659485,19.0
l1,679215,3,freeze accounts,0.9588325023651123,16.0
l1,4343902,4,fight accounts,0.9631728529930115,20.0
l1,7056020,2,catch bills,0.9568156003952026,16.0
l1,6463343,1,drop growth,0.9643101692199707,20.0
l1,4343902,4,freeze accounts,0.9569038152694702,16.0
l1,6463343,1,fly kids,0.9565911293029785,10.0
l1,7056020,2,fight accounts,0.962501049041748,20.0
l1,679215,3,drive growth,0.9646216034889221,19.0
l1,6463343,1,teach kids,0.9614180326461792,9.0
l1,4343902,4,drive growth,0.9757351875305176,20.0
l1,7056020,2,freeze accounts,0.9558508396148682,15.0
l1,679215,3,drop growth,0.963942289352417,20.0
l1,6463343,1,buy blame,0.9678211212158203,21.0
l1,679215,3,fly kids,0.958774209022522,10.0
l1,4343902,4,drop growth,0.9640105366706848,19.0
l1,679215,3,teach kids,0.9566823840141296,8.0
l1,7056020,2,drive growth,0.975436806678772,20.0
l1,6463343,1,shift blame,0.9660723209381104,20.0
l1,4343902,4,fly kids,0.9558160305023193,10.0
l1,6463343,1,feel pain,0.9579793214797974,5.0
l1,4343902,4,teach kids,0.9603557586669922,9.0
l1,679215,3,buy blame,0.9715753197669983,21.0
l1,7056020,2,drop growth,0.967502236366272,20.0
l1,6463343,1,waste pain,0.9567108154296875,10.0
l1,7056020,2,fly kids,0.9567180871963501,10.0
l1,6463343,1,raise doubts,0.9566410779953003,10.0
l1,4343902,4,buy blame,0.9695315957069397,21.0
l1,679215,3,shift blame,0.9656789302825928,20.0
l1,7056020,2,teach kids,0.961073100566864,9.0
l1,679215,3,feel pain,0.9552314281463623,5.0
l1,6463343,1,take doubts,0.9559181928634644,12.0
l1,6463343,1,catch fire,0.9553271532058716,7.0
l1,679215,3,waste pain,0.9570956230163574,10.0
l1,4343902,4,shift blame,0.9577887058258057,18.0
l1,7056020,2,buy blame,0.9723361134529114,21.0
l1,6463343,1,cut fire,0.9564913511276245,9.0
l1,4343902,4,feel pain,0.9581942558288574,5.0
l1,679215,3,raise doubts,0.9583274126052856,10.0
l1,7056020,2,shift blame,0.9592442512512207,19.0
l1,6463343,1,bring boundaries,0.9623922109603882,21.0
l1,7056020,2,feel pain,0.9568378329277039,5.0
l1,679215,3,take doubts,0.9578957557678223,12.0
l1,679215,3,catch fire,0.9564260244369507,7.0
l1,7056020,2,waste pain,0.962135374546051,11.0
l1,6463343,1,push boundaries,0.959017276763916,21.0
l1,679215,3,cut fire,0.9572409391403198,9.0
l1,4343902,4,waste pain,0.9584270715713501,10.0
l1,7056020,2,raise doubts,0.958700954914093,10.0
l1,6463343,1,cross costs,0.9610540866851807,9.0
l1,4343902,4,raise doubts,0.9584416151046753,10.0
