mode,id,participant,item,act,rt
l1,5088743,8,kick love,0.9727204442024231,53.0
l1,4343902,4,kick love,0.9718396067619324,54.0
l1,8152513,6,kick love,0.9726080894470215,57.0
l1,7056020,2,kick love,0.9714101552963257,53.0
l1,5088743,8,show love,0.9705594778060913,29.0
l1,6463343,1,kick love,0.9714063405990601,51.0
l1,8577766,5,kick love,0.9708741903305054,54.0
l1,4343902,4,show love,0.9708881974220276,27.0
l1,8152513,6,show love,0.9712995290756226,26.0
l1,679215,3,kick love,0.9720041751861572,54.0
l1,7056020,2,show love,0.9705883264541626,28.0
l1,6793667,7,kick love,0.971118688583374,54.0
l1,8577766,5,show love,0.9705458879470825,28.0
l1,679215,3,show love,0.9702262878417969,26.0
l1,6463343,1,show love,0.9706457257270813,27.0
l1,5088743,8,enter flags,0.9711251258850098,51.0
l1,8152513,6,enter flags,0.9727561473846436,52.0
l1,6793667,7,show love,0.9707274436950684,27.0
l1,4343902,4,enter flags,0.9717099666595459,53.0
l1,7056020,2,enter flags,0.9712430238723755,51.0
l1,5088743,8,fly flags,0.9708746671676636,36.0
l1,8577766,5,enter flags,0.9732675552368164,52.0
l1,679215,3,enter flags,0.9713431000709534,51.0
l1,8152513,6,fly flags,0.9703267812728882,33.0
l1,6463343,1,enter flags,0.9726550579071045,51.0
l1,5088743,8,buy tickets,0.9706165790557861,22.0
l1,4343902,4,fly flags,0.9706929326057434,32.0
l1,7056020,2,fly flags,0.9701179265975952,34.0
l1,8577766,5,fly flags,0.970430850982666,34.0
l1,679215,3,fly flags,0.9704902172088623,34.0
l1,8152513,6,buy tickets,0.9700364470481873,22.0
l1,6793667,7,enter flags,0.9720300436019897,52.0
l1,7056020,2,buy tickets,0.9701833724975586,21.0
l1,4343902,4,buy tickets,0.9707549810409546,23.0
l1,8577766,5,buy tickets,0.970807671546936,23.0
l1,679215,3,buy tickets,0.9706923365592957,23.0
l1,6463343,1,fly flags,0.9702423214912415,34.0
l1,5088743,8,feel tickets,0.9711720943450928,55.0
l1,6793667,7,fly flags,0.9704184532165527,32.0
l1,6463343,1,buy tickets,0.9710068106651306,22.0
l1,8152513,6,feel tickets,0.97133469581604,55.0
l1,7056020,2,feel tickets,0.9711910486221313,55.0
l1,679215,3,feel tickets,0.972173810005188,56.0
l1,6793667,7,buy tickets,0.9705668687820435,23.0
l1,8577766,5,feel tickets,0.9718745350837708,56.0
l1,5088743,8,read dogs,0.97023606300354,49.0
l1,4343902,4,feel tickets,0.9714224934577942,56.0
