mode,id,participant,item,act,rt
l1,679215,3,kick love,0.9714136123657227,55.0
l1,6793667,7,kick love,0.9702709913253784,56.0
l1,4343902,4,kick love,0.972348690032959,53.0
l1,5088743,8,kick love,0.9716346263885498,55.0
l1,6793667,7,show love,0.9706987142562866,30.0
l1,7056020,2,kick love,0.9720028638839722,52.0
l1,679215,3,show love,0.9702815413475037,29.0
l1,8152513,6,kick love,0.9709666967391968,54.0
l1,4343902,4,show love,0.9706776738166809,30.0
l1,5088743,8,show love,0.9707751274108887,29.0
l1,6463343,1,kick love,0.9708025455474854,51.0
l1,8577766,5,kick love,0.9723464250564575,53.0
l1,7056020,2,show love,0.9701498746871948,29.0
l1,8152513,6,show love,0.970278263092041,29.0
l1,6793667,7,enter flags,0.9708206057548523,48.0
l1,6463343,1,show love,0.9704113006591797,30.0
l1,679215,3,enter flags,0.9722211360931396,48.0
l1,8577766,5,show love,0.970287024974823,31.0
l1,5088743,8,enter flags,0.9738227128982544,49.0
l1,4343902,4,enter flags,0.9713470339775085,47.0
l1,6793667,7,fly flags,0.9708223938941956,37.0
l1,7056020,2,enter flags,0.9728408455848694,49.0
l1,8152513,6,enter flags,0.9733204245567322,48.0
l1,679215,3,fly flags,0.9706058502197266,37.0
l1,6463343,1,enter flags,0.973659336566925,49.0
l1,5088743,8,fly flags,0.9711440205574036,37.0
l1,6793667,7,buy tickets,0.9706026911735535,25.0
l1,8577766,5,enter flags,0.9708185195922852,48.0
l1,4343902,4,fly flags,0.9702735543251038,40.0
l1,7056020,2,fly flags,0.9702414274215698,38.0
l1,5088743,8,buy tickets,0.9704464673995972,25.0
l1,8152513,6,fly flags,0.970062255859375,37.0
l1,679215,3,buy tickets,0.9704384803771973,26.0
l1,6463343,1,fly flags,0.9709606170654297,38.0
l1,4343902,4,buy tickets,0.9702088236808777,25.0
l1,7056020,2,buy tickets,0.9703477025032043,24.0
l1,8577766,5,fly flags,0.9708166122436523,37.0
l1,6793667,7,feel tickets,0.9711024761199951,54.0
l1,8152513,6,buy tickets,0.9708836078643799,26.0
l1,6463343,1,buy tickets,0.9704545140266418,25.0
l1,8577766,5,buy tickets,0.9705051183700562,25.0
l1,5088743,8,feel tickets,0.9725270867347717,55.0
l1,679215,3,feel tickets,0.9718877077102661,55.0
l1,4343902,4,feel tickets,0.972333550453186,56.0
l1,7056020,2,feel tickets,0.972944974899292,55.0
l1,8152513,6,feel tickets,0.9713531732559204,56.0
l1,6793667,7,read dogs,0.9718033671379089,54.0
l1,8577766,5,feel tickets,0.9727422595024109,54.0
l1,6463343,1,feel tickets,0.9711821675300598,55.0
l1,5088743,8,read dogs,0.9720304012298584,55.0
l1,679215,3,read dogs,0.9704065918922424,53.0
l1,6793667,7,walk dogs ,0.9707870483398438,34.0
l1,4343902,4,read dogs,0.9717674851417542,54.0
l1,8152513,6,read dogs,0.9702681303024292,52.0
l1,7056020,2,read dogs,0.9712857604026794,54.0
l1,5088743,8,walk dogs ,0.9706103801727295,36.0
l1,6463343,1,read dogs,0.9714090824127197,49.0
l1,8577766,5,read dogs,0.9701854586601257,54.0
l1,679215,3,walk dogs ,0.9705379605293274,36.0
l1,6793667,7,hide songs,0.9704974293708801,36.0
l1,4343902,4,walk dogs ,0.9704725742340088,36.0
l1,8152513,6,walk dogs ,0.9701755046844482,38.0
l1,5088743,8,hide songs,0.9701826572418213,37.0
l1,7056020,2,walk dogs ,0.9707551002502441,38.0
l1,6463343,1,walk dogs ,0.970809817314148,37.0
l1,679215,3,hide songs,0.9706040024757385,35.0
l1,6793667,7,sing songs,0.9704415798187256,24.0
l1,8577766,5,walk dogs ,0.9703328013420105,37.0
l1,4343902,4,hide songs,0.9701060652732849,35.0
l1,8152513,6,hide songs,0.9702680110931396,36.0
l1,5088743,8,sing songs,0.9707701206207275,25.0
l1,679215,3,sing songs,0.9701104164123535,23.0
l1,6463343,1,hide songs,0.9700933694839478,36.0
l1,4343902,4,sing songs,0.9707379341125488,24.0
l1,8152513,6,sing songs,0.9702982306480408,24.0
l1,8577766,5,hide songs,0.970360279083252,37.0
l1,7056020,2,hide songs,0.9702365398406982,38.0
l1,6793667,7,bend coal,0.9742093682289124,47.0
l1,6463343,1,sing songs,0.9701212644577026,24.0
l1,5088743,8,bend coal,0.972997784614563,46.0
l1,8577766,5,sing songs,0.9708532094955444,25.0
l1,7056020,2,sing songs,0.9700455069541931,25.0
l1,679215,3,bend coal,0.9707732200622559,46.0
l1,8152513,6,bend coal,0.9705623984336853,47.0
l1,4343902,4,bend coal,0.9710130095481873,46.0
l1,6793667,7,burn coal,0.9704467058181763,38.0
l1,6463343,1,bend coal,0.9701783657073975,45.0
l1,679215,3,burn coal,0.9700921773910522,40.0
l1,5088743,8,burn coal,0.9704922437667847,39.0
l1,6793667,7,build houses,0.9704132080078125,19.0
l1,8577766,5,bend coal,0.970874547958374,46.0
l1,4343902,4,burn coal,0.9707939624786377,40.0
l1,8152513,6,burn coal,0.9703789949417114,39.0
l1,7056020,2,bend coal,0.9739593267440796,46.0
l1,5088743,8,build houses,0.9700328707695007,19.0
l1,679215,3,build houses,0.970529317855835,19.0
l1,8152513,6,build houses,0.9710711240768433,20.0
l1,4343902,4,build houses,0.9703229665756226,19.0
l1,6463343,1,burn coal,0.970072865486145,39.0
l1,8577766,5,burn coal,0.9700536727905273,38.0
l1,6463343,1,build houses,0.9708647727966309,20.0
l1,7056020,2,burn coal,0.970163106918335,40.0
l1,6793667,7,chase houses,0.9713033437728882,61.0
l1,8577766,5,build houses,0.9707094430923462,19.0
l1,7056020,2,build houses,0.9702386260032654,19.0
l1,679215,3,chase houses,0.9709393978118896,62.0
