mode,id,participant,item,act,rt
l1,4343902,4,kick love,0.9568312764167786,47.0
l1,7056020,2,kick love,0.9552890658378601,47.0
l1,679215,3,kick love,0.9559361934661865,40.0
l1,6463343,1,kick love,0.9551112651824951,42.0
l1,4343902,4,show love,0.9550785422325134,23.0
l1,679215,3,show love,0.9550535082817078,22.0
l1,6463343,1,show love,0.9560325741767883,23.0
l1,7056020,2,show love,0.9559390544891357,24.0
l1,4343902,4,enter flags,0.9552451372146606,45.0
l1,679215,3,enter flags,0.9568307399749756,45.0
l1,6463343,1,enter flags,0.955845296382904,45.0
l1,7056020,2,enter flags,0.9579154849052429,45.0
l1,4343902,4,fly flags,0.9583595991134644,33.0
l1,679215,3,fly flags,0.9572420120239258,32.0
l1,6463343,1,fly flags,0.9552902579307556,32.0
l1,7056020,2,fly flags,0.9566729664802551,32.0
l1,4343902,4,buy tickets,0.957242488861084,18.0
l1,679215,3,buy tickets,0.9576343894004822,18.0
l1,6463343,1,buy tickets,0.9568935632705688,18.0
l1,7056020,2,buy tickets,0.9567758440971375,18.0
l1,4343902,4,feel tickets,0.9558981657028198,52.0
l1,679215,3,feel tickets,0.9583160877227783,53.0
l1,7056020,2,feel tickets,0.9559177160263062,48.0
l1,6463343,1,feel tickets,0.9573309421539307,52.0
l1,4343902,4,read dogs,0.9574903845787048,50.0
l1,7056020,2,read dogs,0.9551129341125488,46.0
l1,679215,3,read dogs,0.9558215141296387,50.0
l1,6463343,1,read dogs,0.9581787586212158,50.0
l1,4343902,4,walk dogs ,0.9552251100540161,30.0
l1,7056020,2,walk dogs ,0.9558027982711792,30.0
l1,679215,3,walk dogs ,0.9567170143127441,30.0
l1,4343902,4,hide songs,0.9556483030319214,24.0
l1,7056020,2,hide songs,0.95601886510849,24.0
l1,6463343,1,walk dogs ,0.9556440114974976,29.0
l1,4343902,4,sing songs,0.9566942453384399,17.0
l1,679215,3,hide songs,0.9567127823829651,25.0
l1,7056020,2,sing songs,0.9573084712028503,17.0
l1,6463343,1,hide songs,0.9566802382469177,25.0
l1,679215,3,sing songs,0.9562186002731323,17.0
l1,6463343,1,sing songs,0.9557755589485168,17.0
l1,4343902,4,bend coal,0.955282986164093,44.0
l1,7056020,2,bend coal,0.9588412642478943,43.0
l1,679215,3,bend coal,0.9556125402450562,43.0
l1,4343902,4,burn coal,0.9571943879127502,33.0
l1,6463343,1,bend coal,0.9590958952903748,43.0
l1,7056020,2,burn coal,0.9578481316566467,35.0
l1,4343902,4,build houses,0.9569061994552612,13.0
l1,679215,3,burn coal,0.9580211043357849,31.0
l1,7056020,2,build houses,0.9571115970611572,13.0
l1,679215,3,build houses,0.9571048021316528,13.0
l1,6463343,1,burn coal,0.9574664235115051,32.0
l1,4343902,4,chase houses,0.9558330774307251,28.0
l1,6463343,1,build houses,0.9552829265594482,13.0
l1,7056020,2,chase houses,0.9556648135185242,28.0
l1,679215,3,chase houses,0.9554029703140259,28.0
l1,4343902,4,drink beer,0.956820547580719,22.0
l1,7056020,2,drink beer,0.9564666748046875,21.0
l1,6463343,1,chase houses,0.9554733037948608,29.0
l1,679215,3,drink beer,0.955264151096344,22.0
l1,6463343,1,drink beer,0.9564678072929382,22.0
l1,4343902,4,show beer,0.9560258388519287,51.0
l1,7056020,2,show beer,0.9556019306182861,47.0
l1,679215,3,show beer,0.9572919607162476,47.0
l1,6463343,1,show beer,0.9580179452896118,51.0
l1,4343902,4,burn smells,0.9567523002624512,46.0
l1,7056020,2,burn smells,0.9605282545089722,47.0
l1,679215,3,burn smells,0.9574793577194214,46.0
l1,4343902,4,mask smells,0.9561521410942078,31.0
l1,6463343,1,burn smells,0.956898033618927,46.0
l1,7056020,2,mask smells,0.9594855904579163,33.0
l1,679215,3,mask smells,0.958915114402771,33.0
l1,6463343,1,mask smells,0.9569611549377441,33.0
l1,4343902,4,crack promises,0.9560418128967285,43.0
l1,7056020,2,crack promises,0.9559008479118347,43.0
l1,679215,3,crack promises,0.9566094875335693,43.0
l1,4343902,4,keep promises,0.9552653431892395,21.0
l1,7056020,2,keep promises,0.9566883444786072,22.0
l1,6463343,1,crack promises,0.9566660523414612,44.0
l1,679215,3,keep promises,0.9576736688613892,22.0
l1,4343902,4,enter contests,0.9553689360618591,33.0
l1,6463343,1,keep promises,0.9581551551818848,22.0
l1,7056020,2,enter contests,0.9568714499473572,33.0
l1,679215,3,enter contests,0.9572696685791016,33.0
l1,6463343,1,enter contests,0.9552019238471985,31.0
l1,4343902,4,push contests,0.9581036567687988,44.0
l1,7056020,2,push contests,0.9591554999351501,45.0
l1,679215,3,push contests,0.9585429430007935,44.0
l1,4343902,4,earn trust,0.9573056697845459,20.0
l1,7056020,2,earn trust,0.9579822421073914,20.0
l1,6463343,1,push contests,0.9585427641868591,46.0
l1,679215,3,earn trust,0.9551686644554138,20.0
l1,4343902,4,eat trust,0.9571359753608704,31.0
l1,7056020,2,eat trust,0.9555625915527344,30.0
l1,6463343,1,earn trust,0.9550235867500305,19.0
l1,679215,3,eat trust,0.9553290605545044,31.0
l1,4343902,4,foot bills,0.9589682817459106,27.0
l1,7056020,2,foot bills,0.9551851749420166,27.0
l1,6463343,1,eat trust,0.9564199447631836,30.0
l1,679215,3,foot bills,0.9562380313873291,28.0
l1,6463343,1,foot bills,0.9570116996765137,28.0
l1,4343902,4,catch bills,0.9556576609611511,49.0
l1,7056020,2,catch bills,0.9605758786201477,48.0
l1,679215,3,catch bills,0.9561572670936584,45.0
l1,4343902,4,fight accounts,0.959835410118103,45.0
l1,7056020,2,fight accounts,0.9566327333450317,44.0
l1,6463343,1,catch bills,0.955920934677124,47.0
l1,679215,3,fight accounts,0.9588788747787476,45.0
l1,4343902,4,freeze accounts,0.956710934638977,37.0
l1,7056020,2,freeze accounts,0.9582080841064453,33.0
l1,679215,3,freeze accounts,0.9577680826187134,33.0
l1,6463343,1,fight accounts,0.9588969349861145,45.0
l1,4343902,4,drive growth,0.9571428894996643,23.0
l1,7056020,2,drive growth,0.9580128788948059,23.0
l1,679215,3,drive growth,0.9577136635780334,22.0
l1,6463343,1,freeze accounts,0.9575803279876709,33.0
l1,4343902,4,drop growth,0.9555964469909668,40.0
l1,7056020,2,drop growth,0.9565580487251282,38.0
l1,6463343,1,drive growth,0.9577884078025818,22.0
l1,679215,3,drop growth,0.9556495547294617,36.0
l1,6463343,1,drop growth,0.956631600856781,36.0
l1,7056020,2,fly kids,0.9568780064582825,47.0
