mode,id,participant,item,act,rt
l1,6793667,7,kick love,0.9721031785011292,53.0
l1,679215,3,kick love,0.9700415134429932,52.0
l1,8152513,6,kick love,0.9716662168502808,54.0
l1,6793667,7,show love,0.97065669298172,32.0
l1,7056020,2,kick love,0.971554160118103,56.0
l1,679215,3,show love,0.9703307151794434,31.0
l1,8577766,5,kick love,0.9727916121482849,54.0
l1,6463343,1,kick love,0.971144437789917,54.0
l1,8152513,6,show love,0.9703210592269897,33.0
l1,4343902,4,kick love,0.9709370136260986,53.0
l1,5088743,8,kick love,0.9716035723686218,53.0
l1,7056020,2,show love,0.9701970219612122,31.0
l1,8577766,5,show love,0.9705930948257446,32.0
l1,6793667,7,enter flags,0.9754205346107483,47.0
l1,6463343,1,show love,0.9706333875656128,31.0
l1,4343902,4,show love,0.9701634645462036,31.0
l1,679215,3,enter flags,0.9716162085533142,46.0
l1,5088743,8,show love,0.9708211421966553,32.0
l1,8152513,6,enter flags,0.9702908992767334,46.0
l1,7056020,2,enter flags,0.9751541614532471,47.0
l1,8577766,5,enter flags,0.970268964767456,47.0
l1,6793667,7,fly flags,0.9727802276611328,49.0
l1,6463343,1,enter flags,0.9734033346176147,47.0
l1,4343902,4,enter flags,0.9718122482299805,46.0
l1,5088743,8,enter flags,0.9746425151824951,47.0
l1,6793667,7,buy tickets,0.970339298248291,29.0
l1,7056020,2,fly flags,0.9703390598297119,49.0
l1,679215,3,fly flags,0.9737077951431274,50.0
l1,8152513,6,fly flags,0.9700245261192322,49.0
l1,8577766,5,fly flags,0.9708898067474365,49.0
l1,7056020,2,buy tickets,0.9707844257354736,29.0
l1,679215,3,buy tickets,0.9704807996749878,28.0
l1,6463343,1,fly flags,0.9724078178405762,50.0
l1,8152513,6,buy tickets,0.9707524180412292,29.0
l1,5088743,8,fly flags,0.9709811210632324,49.0
l1,8577766,5,buy tickets,0.9704151749610901,29.0
l1,4343902,4,fly flags,0.9740892648696899,51.0
l1,6793667,7,feel tickets,0.972623884677887,56.0
l1,5088743,8,buy tickets,0.9703306555747986,28.0
l1,6463343,1,buy tickets,0.9708150625228882,29.0
l1,4343902,4,buy tickets,0.9700806140899658,27.0
l1,679215,3,feel tickets,0.9703497290611267,55.0
l1,7056020,2,feel tickets,0.9711634516716003,55.0
l1,8152513,6,feel tickets,0.9735798239707947,57.0
l1,8577766,5,feel tickets,0.9713919162750244,55.0
l1,6793667,7,read dogs,0.9704852104187012,52.0
l1,6463343,1,feel tickets,0.9726903438568115,56.0
l1,4343902,4,feel tickets,0.9739724397659302,56.0
l1,5088743,8,feel tickets,0.972927987575531,57.0
l1,7056020,2,read dogs,0.9707165360450745,52.0
l1,679215,3,read dogs,0.9716384410858154,54.0
l1,8152513,6,read dogs,0.9718799591064453,52.0
l1,8577766,5,read dogs,0.9721932411193848,50.0
l1,6793667,7,walk dogs ,0.9704034328460693,50.0
l1,4343902,4,read dogs,0.9710747003555298,51.0
