mode,id,participant,item,act,rt
l1,7056020,2,kick love,0.9575440883636475,15.0
l1,6463343,1,kick love,0.9573185443878174,17.0
l1,7056020,2,show love,0.9614965915679932,11.0
l1,6463343,1,show love,0.9555637836456299,10.0
l1,679215,3,kick love,0.9568195939064026,15.0
l1,4343902,4,kick love,0.9589890241622925,17.0
l1,679215,3,show love,0.9577961564064026,10.0
l1,7056020,2,enter flags,0.9576331377029419,19.0
l1,6463343,1,enter flags,0.9571848511695862,19.0
l1,7056020,2,fly flags,0.9562557935714722,14.0
l1,679215,3,enter flags,0.9559683799743652,18.0
l1,7056020,2,buy tickets,0.9577231407165527,8.0
l1,4343902,4,show love,0.9572993516921997,10.0
l1,6463343,1,fly flags,0.9564752578735352,14.0
l1,679215,3,fly flags,0.9582775235176086,14.0
l1,7056020,2,feel tickets,0.9605675935745239,11.0
l1,6463343,1,buy tickets,0.9551047086715698,8.0
l1,679215,3,buy tickets,0.9559911489486694,8.0
l1,4343902,4,enter flags,0.9551827907562256,19.0
l1,6463343,1,feel tickets,0.9584075212478638,11.0
l1,679215,3,feel tickets,0.9586949944496155,11.0
l1,4343902,4,fly flags,0.9592846035957336,15.0
l1,7056020,2,read dogs,0.9566609859466553,29.0
l1,6463343,1,read dogs,0.9556335806846619,17.0
l1,4343902,4,buy tickets,0.9555578231811523,8.0
l1,7056020,2,walk dogs ,0.9557172060012817,12.0
l1,6463343,1,walk dogs ,0.957745373249054,12.0
l1,4343902,4,feel tickets,0.9585906863212585,11.0
l1,679215,3,read dogs,0.9558529853820801,28.0
l1,7056020,2,hide songs,0.9592149257659912,11.0
l1,679215,3,walk dogs ,0.9551408290863037,12.0
l1,4343902,4,read dogs,0.9567084312438965,19.0
l1,6463343,1,hide songs,0.9595487713813782,11.0
l1,7056020,2,sing songs,0.9563694000244141,8.0
l1,679215,3,hide songs,0.9564938545227051,10.0
l1,6463343,1,sing songs,0.956303060054779,8.0
l1,4343902,4,walk dogs ,0.9552091956138611,12.0
l1,679215,3,sing songs,0.9582921266555786,8.0
l1,4343902,4,hide songs,0.9562304615974426,10.0
l1,4343902,4,sing songs,0.957350492477417,8.0
l1,7056020,2,bend coal,0.9550409317016602,31.0
l1,6463343,1,bend coal,0.9550959467887878,33.0
l1,7056020,2,burn coal,0.9564406275749207,14.0
l1,679215,3,bend coal,0.9566631317138672,35.0
l1,7056020,2,build houses,0.9563108086585999,8.0
l1,679215,3,burn coal,0.958957850933075,14.0
l1,4343902,4,bend coal,0.9569725394248962,35.0
l1,6463343,1,burn coal,0.9587067365646362,14.0
l1,679215,3,build houses,0.9556358456611633,8.0
l1,6463343,1,build houses,0.9573326110839844,8.0
l1,4343902,4,burn coal,0.9577175378799438,14.0
l1,7056020,2,chase houses,0.9612906575202942,27.0
l1,4343902,4,build houses,0.9561417102813721,8.0
l1,7056020,2,drink beer,0.9605699777603149,11.0
l1,679215,3,chase houses,0.9585607051849365,29.0
l1,6463343,1,chase houses,0.9551665782928467,27.0
l1,679215,3,drink beer,0.9579731822013855,11.0
l1,7056020,2,show beer,0.9600568413734436,25.0
l1,4343902,4,chase houses,0.9561035633087158,27.0
l1,6463343,1,drink beer,0.957023024559021,11.0
l1,4343902,4,drink beer,0.9610045552253723,11.0
l1,679215,3,show beer,0.9608762264251709,24.0
l1,7056020,2,burn smells,0.9570050239562988,16.0
l1,679215,3,burn smells,0.9559360146522522,15.0
l1,4343902,4,show beer,0.9588624238967896,26.0
l1,7056020,2,mask smells,0.957431435585022,20.0
l1,6463343,1,show beer,0.9550034999847412,23.0
l1,679215,3,mask smells,0.9610173106193542,20.0
l1,6463343,1,burn smells,0.9590728282928467,16.0
l1,4343902,4,burn smells,0.9581073522567749,16.0
l1,7056020,2,crack promises,0.956000566482544,18.0
l1,679215,3,crack promises,0.9577656984329224,18.0
l1,6463343,1,mask smells,0.9621323347091675,21.0
l1,7056020,2,keep promises,0.9572213888168335,12.0
l1,679215,3,keep promises,0.9550961256027222,12.0
l1,4343902,4,mask smells,0.9603198766708374,21.0
l1,6463343,1,crack promises,0.9570606350898743,19.0
l1,4343902,4,crack promises,0.9589091539382935,20.0
l1,7056020,2,enter contests,0.9583042860031128,18.0
l1,6463343,1,keep promises,0.9565515518188477,12.0
l1,4343902,4,keep promises,0.9556810259819031,12.0
l1,679215,3,enter contests,0.9576138257980347,17.0
l1,7056020,2,push contests,0.9568485021591187,13.0
l1,6463343,1,enter contests,0.956405520439148,17.0
l1,4343902,4,enter contests,0.9578114151954651,18.0
l1,7056020,2,earn trust,0.9593650102615356,13.0
l1,6463343,1,push contests,0.956206202507019,13.0
l1,679215,3,push contests,0.9583251476287842,14.0
l1,4343902,4,push contests,0.9581059217453003,13.0
l1,6463343,1,earn trust,0.9591280221939087,13.0
l1,679215,3,earn trust,0.9611895084381104,14.0
l1,4343902,4,earn trust,0.9552644491195679,13.0
l1,7056020,2,eat trust,0.9555648565292358,17.0
l1,6463343,1,eat trust,0.9558296203613281,17.0
l1,7056020,2,foot bills,0.9603006839752197,11.0
l1,679215,3,eat trust,0.9575445652008057,19.0
l1,4343902,4,eat trust,0.9558414220809937,18.0
l1,6463343,1,foot bills,0.9551048278808594,11.0
l1,679215,3,foot bills,0.9596481323242188,11.0
l1,4343902,4,foot bills,0.9567018747329712,11.0
l1,7056020,2,catch bills,0.9708475470542908,19.0
l1,6463343,1,catch bills,0.9698526859283447,19.0
l1,679215,3,catch bills,0.9591320157051086,18.0
l1,4343902,4,catch bills,0.9644085168838501,19.0
l1,7056020,2,fight accounts,0.9574751257896423,21.0
l1,6463343,1,fight accounts,0.9574674367904663,21.0
l1,679215,3,fight accounts,0.9558219313621521,21.0
l1,4343902,4,fight accounts,0.9576462507247925,21.0
l1,6463343,1,freeze accounts,0.9582241177558899,17.0
l1,7056020,2,freeze accounts,0.9597456455230713,18.0
l1,679215,3,freeze accounts,0.9586173295974731,17.0
l1,6463343,1,drive growth,0.9560638070106506,9.0
l1,7056020,2,drive growth,0.9550273418426514,9.0
l1,679215,3,drive growth,0.9570271968841553,9.0
l1,4343902,4,freeze accounts,0.9577624797821045,20.0
l1,6463343,1,drop growth,0.9593578577041626,29.0
l1,4343902,4,drive growth,0.9562291502952576,9.0
l1,7056020,2,drop growth,0.9567548036575317,27.0
l1,679215,3,drop growth,0.9551195502281189,26.0
l1,6463343,1,fly kids,0.9579530358314514,13.0
l1,7056020,2,fly kids,0.9555022716522217,13.0
l1,679215,3,fly kids,0.9578855633735657,13.0
l1,6463343,1,teach kids,0.9579266905784607,10.0
l1,4343902,4,drop growth,0.9557833075523376,25.0
l1,7056020,2,teach kids,0.9555876851081848,10.0
l1,679215,3,teach kids,0.9582834243774414,10.0
l1,4343902,4,fly kids,0.9573752880096436,13.0
l1,6463343,1,buy blame,0.9729177355766296,20.0
l1,7056020,2,buy blame,0.9555739164352417,19.0
l1,4343902,4,teach kids,0.9571280479431152,10.0
l1,679215,3,buy blame,0.9750134944915771,20.0
l1,6463343,1,shift blame,0.9570712447166443,19.0
l1,7056020,2,shift blame,0.9561747312545776,18.0
l1,4343902,4,buy blame,0.974063515663147,20.0
l1,6463343,1,feel pain,0.9568912982940674,10.0
l1,7056020,2,feel pain,0.9573321342468262,10.0
l1,679215,3,shift blame,0.9575914740562439,17.0
l1,7056020,2,waste pain,0.9563409686088562,8.0
l1,4343902,4,shift blame,0.9582847952842712,18.0
l1,6463343,1,waste pain,0.957682192325592,8.0
l1,7056020,2,raise doubts,0.9590632319450378,13.0
l1,4343902,4,feel pain,0.9601892232894897,11.0
l1,679215,3,feel pain,0.9603133201599121,11.0
l1,6463343,1,raise doubts,0.9607208967208862,14.0
l1,679215,3,waste pain,0.9575777053833008,8.0
l1,4343902,4,waste pain,0.9581215381622314,8.0
l1,7056020,2,take doubts,0.956427276134491,15.0
l1,6463343,1,take doubts,0.9569078683853149,16.0
l1,679215,3,raise doubts,0.9560195207595825,14.0
l1,4343902,4,raise doubts,0.9560472369194031,13.0
l1,7056020,2,catch fire,0.9587543606758118,10.0
l1,6463343,1,catch fire,0.9604490399360657,10.0
l1,7056020,2,cut fire,0.9558809995651245,13.0
l1,679215,3,take doubts,0.9563949704170227,26.0
l1,4343902,4,take doubts,0.95685213804245,15.0
l1,6463343,1,cut fire,0.9579872488975525,13.0
l1,679215,3,catch fire,0.957735538482666,10.0
l1,4343902,4,catch fire,0.9607750177383423,10.0
l1,7056020,2,bring boundaries,0.9591748714447021,22.0
l1,679215,3,cut fire,0.958840548992157,14.0
l1,6463343,1,bring boundaries,0.9621034264564514,22.0
l1,4343902,4,cut fire,0.9579650163650513,13.0
l1,7056020,2,push boundaries,0.9595826864242554,12.0
l1,6463343,1,push boundaries,0.9592897891998291,12.0
l1,679215,3,bring boundaries,0.9629821181297302,22.0
l1,4343902,4,bring boundaries,0.964642345905304,22.0
l1,7056020,2,cross costs,0.9629130363464355,24.0
l1,679215,3,push boundaries,0.9569497108459473,12.0
l1,6463343,1,cross costs,0.9584981203079224,24.0
l1,7056020,2,cut costs,0.9587996006011963,11.0
l1,4343902,4,push boundaries,0.9554839134216309,11.0
l1,7056020,2,hear habit,0.9563202261924744,16.0
l1,679215,3,cross costs,0.9607148170471191,21.0
l1,6463343,1,cut costs,0.9567235112190247,10.0
