mode,id,participant,item,act,rt
l1,679215,3,kick love,0.9700148701667786,54.0
l1,6793667,7,kick love,0.9705566167831421,67.0
l1,5088743,8,kick love,0.9704753160476685,58.0
l1,4343902,4,kick love,0.9704561829566956,49.0
l1,8577766,5,kick love,0.9709540605545044,61.0
l1,8152513,6,kick love,0.9707249999046326,44.0
l1,6463343,1,kick love,0.9700562953948975,66.0
l1,7056020,2,kick love,0.9703847765922546,53.0
l1,8152513,6,show love,0.9700074791908264,399.0
l1,5088743,8,show love,0.9700000286102295,452.0
l1,8577766,5,show love,0.970007598400116,443.0
l1,7056020,2,show love,0.9700019359588623,455.0
l1,8152513,6,enter flags,0.9715007543563843,50.0
l1,5088743,8,enter flags,0.9708201289176941,51.0
l1,8577766,5,enter flags,0.9702591896057129,47.0
l1,7056020,2,enter flags,0.9707210063934326,49.0
l1,8152513,6,fly flags,0.9700065851211548,140.0
l1,4343902,4,show love,0.9700043201446533,631.0
l1,679215,3,show love,0.9694337844848633,700.0
l1,4343902,4,enter flags,0.9710107445716858,47.0
l1,6793667,7,show love,0.9692246913909912,700.0
l1,6463343,1,show love,0.9698355793952942,700.0
l1,679215,3,enter flags,0.9712032675743103,51.0
l1,6793667,7,enter flags,0.9723203182220459,48.0
l1,6463343,1,enter flags,0.9711812734603882,46.0
l1,679215,3,fly flags,0.9700040817260742,294.0
l1,7056020,2,fly flags,0.9700083136558533,463.0
l1,6463343,1,fly flags,0.9700126647949219,382.0
l1,5088743,8,fly flags,0.9700088500976562,650.0
l1,8577766,5,fly flags,0.96962970495224,700.0
l1,4343902,4,fly flags,0.9700025916099548,659.0
l1,8152513,6,buy tickets,0.9688631892204285,700.0
l1,8152513,6,feel tickets,0.9718685746192932,51.0
l1,8152513,6,read dogs,0.9713985919952393,36.0
l1,6793667,7,fly flags,0.8777880668640137,700.0
l1,7056020,2,buy tickets,0.9700081944465637,583.0
l1,679215,3,buy tickets,0.9692142009735107,700.0
l1,7056020,2,feel tickets,0.970757782459259,52.0
l1,679215,3,feel tickets,0.9714858531951904,50.0
l1,7056020,2,read dogs,0.9705700278282166,35.0
l1,679215,3,read dogs,0.9706909656524658,31.0
l1,8577766,5,buy tickets,0.9700062870979309,653.0
l1,5088743,8,buy tickets,0.9685021638870239,700.0
l1,6463343,1,buy tickets,0.9682837724685669,700.0
