mode,id,participant,item,act,rt
l1,6793667,7,kick love,0.9707048535346985,39.0
l1,8152513,6,kick love,0.9707328677177429,36.0
l1,679215,3,kick love,0.9704395532608032,42.0
l1,7056020,2,kick love,0.9710161089897156,46.0
l1,5088743,8,kick love,0.9707071781158447,37.0
l1,4343902,4,kick love,0.9708383679389954,45.0
l1,8577766,5,kick love,0.9706977605819702,33.0
l1,6463343,1,kick love,0.9729048013687134,26.0
l1,6463343,1,show love,0.9700037837028503,87.0
l1,6463343,1,enter flags,0.9715098142623901,40.0
l1,6793667,7,show love,0.970001757144928,428.0
l1,8152513,6,show love,0.9700080156326294,439.0
l1,7056020,2,show love,0.9700087308883667,424.0
l1,679215,3,show love,0.9700015783309937,472.0
l1,6793667,7,enter flags,0.9713535904884338,39.0
l1,8152513,6,enter flags,0.9722062349319458,39.0
l1,7056020,2,enter flags,0.9710601568222046,39.0
l1,679215,3,enter flags,0.9716905355453491,41.0
l1,5088743,8,show love,0.9700093269348145,538.0
l1,6463343,1,fly flags,0.9700148701667786,396.0
l1,5088743,8,enter flags,0.9704493880271912,39.0
l1,8577766,5,show love,0.9700005054473877,605.0
l1,8577766,5,enter flags,0.9705998301506042,38.0
l1,4343902,4,show love,0.9690939784049988,700.0
l1,8577766,5,fly flags,0.9700087308883667,120.0
l1,679215,3,fly flags,0.9700010418891907,266.0
l1,4343902,4,enter flags,0.9711071252822876,38.0
l1,7056020,2,fly flags,0.9700167179107666,283.0
l1,8152513,6,fly flags,0.9700073599815369,313.0
l1,6793667,7,fly flags,0.9700009822845459,338.0
l1,5088743,8,fly flags,0.970001757144928,288.0
l1,4343902,4,fly flags,0.9700183272361755,225.0
l1,6463343,1,buy tickets,0.9700101613998413,566.0
l1,6463343,1,feel tickets,0.9714440703392029,46.0
l1,6463343,1,read dogs,0.9707149863243103,28.0
l1,679215,3,buy tickets,0.9700061082839966,558.0
l1,679215,3,feel tickets,0.971308171749115,46.0
l1,679215,3,read dogs,0.9715332984924316,28.0
l1,8577766,5,buy tickets,0.9700088500976562,664.0
l1,7056020,2,buy tickets,0.9700016975402832,672.0
l1,8577766,5,feel tickets,0.972364604473114,48.0
l1,7056020,2,feel tickets,0.9736825823783875,49.0
l1,8577766,5,read dogs,0.9710257053375244,29.0
l1,8152513,6,buy tickets,0.9699475765228271,700.0
l1,6793667,7,buy tickets,0.9700011610984802,670.0
l1,7056020,2,read dogs,0.9745070934295654,29.0
l1,679215,3,walk dogs ,0.9700024127960205,137.0
l1,8152513,6,feel tickets,0.9712006449699402,47.0
l1,6793667,7,feel tickets,0.9739675521850586,50.0
l1,5088743,8,buy tickets,0.9671015739440918,700.0
l1,8152513,6,read dogs,0.9739375114440918,29.0
l1,8577766,5,walk dogs ,0.9700009822845459,83.0
l1,679215,3,hide songs,0.9712961316108704,48.0
l1,6793667,7,read dogs,0.9715875387191772,28.0
l1,7056020,2,walk dogs ,0.9700020551681519,62.0
l1,5088743,8,feel tickets,0.9723361730575562,49.0
l1,8577766,5,hide songs,0.9724780321121216,49.0
l1,7056020,2,hide songs,0.9726493954658508,48.0
l1,5088743,8,read dogs,0.9745039343833923,28.0
l1,6463343,1,walk dogs ,0.9700083136558533,403.0
l1,6463343,1,hide songs,0.9713462591171265,49.0
l1,4343902,4,buy tickets,0.9684014320373535,700.0
l1,4343902,4,feel tickets,0.9734736680984497,49.0
l1,4343902,4,read dogs,0.9704974889755249,27.0
l1,5088743,8,walk dogs ,0.970015287399292,161.0
l1,6793667,7,walk dogs ,0.9700047373771667,255.0
l1,5088743,8,hide songs,0.9741153120994568,49.0
l1,6793667,7,hide songs,0.9710239768028259,48.0
l1,8152513,6,walk dogs ,0.9700044989585876,476.0
l1,8152513,6,hide songs,0.9703789949417114,48.0
l1,8577766,5,sing songs,0.9700090885162354,565.0
l1,4343902,4,walk dogs ,0.9700093269348145,411.0
l1,8577766,5,bend coal,0.9706423282623291,36.0
l1,4343902,4,hide songs,0.9708471298217773,48.0
l1,679215,3,sing songs,0.9700075387954712,681.0
l1,7056020,2,sing songs,0.9695425033569336,700.0
l1,679215,3,bend coal,0.9702608585357666,35.0
l1,7056020,2,bend coal,0.970829427242279,33.0
l1,6463343,1,sing songs,0.9700033068656921,700.0
l1,6463343,1,bend coal,0.9710996150970459,38.0
l1,5088743,8,sing songs,0.9690448045730591,700.0
l1,7056020,2,burn coal,0.9700092673301697,280.0
l1,8152513,6,sing songs,0.9700033664703369,436.0
l1,6793667,7,sing songs,0.9694994688034058,700.0
l1,8577766,5,burn coal,0.9700188636779785,371.0
l1,5088743,8,bend coal,0.9704300165176392,36.0
l1,6793667,7,bend coal,0.9708868265151978,36.0
l1,8152513,6,bend coal,0.9720232486724854,38.0
l1,679215,3,burn coal,0.9700074791908264,459.0
l1,4343902,4,sing songs,0.9700064659118652,629.0
l1,4343902,4,bend coal,0.971605122089386,35.0
l1,6463343,1,burn coal,0.970013439655304,473.0
l1,8152513,6,burn coal,0.9700030088424683,283.0
l1,8577766,5,build houses,0.9700019955635071,395.0
l1,5088743,8,burn coal,0.9700089693069458,395.0
l1,6793667,7,burn coal,0.9700055122375488,399.0
l1,8577766,5,chase houses,0.9700818061828613,47.0
l1,7056020,2,build houses,0.9696693420410156,700.0
l1,7056020,2,chase houses,0.9704481959342957,44.0
l1,7056020,2,drink beer,0.9700029492378235,191.0
l1,8577766,5,drink beer,0.9700044393539429,424.0
l1,7056020,2,show beer,0.9732550382614136,31.0
l1,679215,3,build houses,0.9687802791595459,700.0
l1,8577766,5,show beer,0.9714282751083374,31.0
l1,7056020,2,burn smells,0.970710813999176,76.0
l1,679215,3,chase houses,0.9711524248123169,56.0
l1,7056020,2,mask smells,0.9704190492630005,24.0
l1,8577766,5,burn smells,0.970053493976593,76.0
l1,7056020,2,crack promises,0.9700983762741089,49.0
l1,4343902,4,burn coal,0.2468005120754242,700.0
l1,6463343,1,build houses,0.9694663286209106,700.0
l1,6463343,1,chase houses,0.9700894355773926,46.0
l1,6793667,7,build houses,0.9700061082839966,650.0
l1,5088743,8,build houses,0.9682596921920776,700.0
l1,8152513,6,build houses,0.9700069427490234,689.0
l1,6793667,7,chase houses,0.9702820777893066,48.0
l1,5088743,8,chase houses,0.9706892967224121,51.0
l1,8152513,6,chase houses,0.9710959196090698,57.0
l1,8577766,5,mask smells,0.9700061082839966,252.0
l1,8577766,5,crack promises,0.9700210690498352,44.0
l1,5088743,8,drink beer,0.9700087308883667,378.0
l1,7056020,2,keep promises,0.9700111746788025,513.0
l1,6793667,7,drink beer,0.9700087308883667,415.0
l1,5088743,8,show beer,0.9703903198242188,31.0
l1,6793667,7,show beer,0.9707525968551636,31.0
l1,679215,3,drink beer,0.9682663679122925,700.0
l1,5088743,8,burn smells,0.9702019691467285,71.0
l1,6793667,7,burn smells,0.9701535701751709,76.0
l1,679215,3,show beer,0.9747536182403564,31.0
l1,6463343,1,drink beer,0.9700062870979309,594.0
l1,8152513,6,drink beer,0.9700018167495728,557.0
l1,7056020,2,enter contests,0.9700107574462891,166.0
l1,4343902,4,build houses,0.9688749313354492,700.0
l1,6463343,1,show beer,0.9766349792480469,32.0
l1,8577766,5,keep promises,0.9700103402137756,504.0
l1,8152513,6,show beer,0.9720258712768555,31.0
l1,679215,3,burn smells,0.9704747200012207,81.0
l1,679215,3,mask smells,0.9701918363571167,25.0
l1,4343902,4,chase houses,0.9700732231140137,61.0
l1,8152513,6,burn smells,0.970571756362915,70.0
l1,6463343,1,burn smells,0.9709184765815735,76.0
l1,7056020,2,push contests,0.9704327583312988,88.0
l1,5088743,8,mask smells,0.9700043797492981,195.0
l1,679215,3,crack promises,0.9702693223953247,62.0
l1,5088743,8,crack promises,0.9700435400009155,40.0
