mode,id,participant,item,act,rt
l1,6793667,7,kick love,0.9707730412483215,18.0
l1,679215,3,kick love,0.9784080982208252,19.0
l1,8577766,5,kick love,0.9702421426773071,18.0
l1,6463343,1,kick love,0.9712545275688171,18.0
l1,5088743,8,kick love,0.9713006019592285,18.0
l1,4343902,4,kick love,0.9786117076873779,19.0
l1,8152513,6,kick love,0.9729524254798889,18.0
l1,7056020,2,kick love,0.9738270044326782,18.0
l1,6793667,7,show love,0.9700085520744324,262.0
l1,6793667,7,enter flags,0.9712296724319458,22.0
l1,6793667,7,fly flags,0.972771406173706,23.0
l1,679215,3,show love,0.97001051902771,433.0
l1,4343902,4,show love,0.9700067043304443,189.0
l1,679215,3,enter flags,0.972776472568512,22.0
l1,4343902,4,enter flags,0.9723224639892578,22.0
l1,679215,3,fly flags,0.9738295078277588,23.0
l1,4343902,4,fly flags,0.9730328917503357,23.0
l1,8152513,6,show love,0.9700045585632324,410.0
l1,6463343,1,show love,0.9700003862380981,439.0
l1,8152513,6,enter flags,0.9721779227256775,22.0
l1,6463343,1,enter flags,0.9726223945617676,22.0
l1,8152513,6,fly flags,0.9718958139419556,23.0
l1,6463343,1,fly flags,0.9703445434570312,23.0
l1,8577766,5,show love,0.9700088500976562,605.0
l1,8577766,5,enter flags,0.9721198678016663,22.0
l1,8577766,5,fly flags,0.9721004962921143,23.0
l1,5088743,8,show love,0.9700062274932861,675.0
l1,5088743,8,enter flags,0.9810271263122559,23.0
l1,6793667,7,buy tickets,0.9700093269348145,596.0
l1,7056020,2,show love,0.9700038433074951,696.0
l1,5088743,8,fly flags,0.9774147272109985,24.0
l1,7056020,2,enter flags,0.9707036018371582,22.0
l1,679215,3,buy tickets,0.9700057506561279,495.0
l1,6793667,7,feel tickets,0.9713866114616394,44.0
l1,7056020,2,fly flags,0.9754736423492432,23.0
l1,6793667,7,read dogs,0.9737474918365479,21.0
l1,679215,3,feel tickets,0.9733381271362305,44.0
l1,6793667,7,walk dogs ,0.973501443862915,21.0
l1,679215,3,read dogs,0.9811774492263794,22.0
l1,679215,3,walk dogs ,0.973405122756958,21.0
l1,6793667,7,hide songs,0.9735365509986877,47.0
l1,679215,3,hide songs,0.9721184372901917,47.0
l1,6463343,1,buy tickets,0.9700075387954712,443.0
l1,4343902,4,buy tickets,0.9690400958061218,700.0
l1,6463343,1,feel tickets,0.971531331539154,43.0
l1,4343902,4,feel tickets,0.9705965518951416,44.0
l1,5088743,8,buy tickets,0.9700087308883667,276.0
l1,6463343,1,read dogs,0.9765713214874268,21.0
l1,4343902,4,read dogs,0.9764094352722168,21.0
l1,6463343,1,walk dogs ,0.9749060273170471,21.0
l1,5088743,8,feel tickets,0.9721065759658813,44.0
l1,4343902,4,walk dogs ,0.9762308597564697,21.0
l1,5088743,8,read dogs,0.9737516641616821,21.0
l1,8577766,5,buy tickets,0.9700002670288086,461.0
l1,6463343,1,hide songs,0.9742072224617004,48.0
l1,5088743,8,walk dogs ,0.9749990701675415,21.0
l1,4343902,4,hide songs,0.9731267690658569,47.0
l1,8577766,5,feel tickets,0.971651554107666,43.0
l1,5088743,8,hide songs,0.9708750247955322,46.0
l1,8577766,5,read dogs,0.9730615019798279,21.0
