,mode,epoch,total_loss
0,train,1,0.021461980883032084
0,test,1,0.07577962870709598
0,train,2,0.014604197582229972
0,test,2,0.05130239168647677
0,train,3,0.01091535936575383
0,test,3,0.04053851868957281
0,train,4,0.008158004027791321
0,test,4,0.030190788384061307
0,train,5,0.006316197570413351
0,test,5,0.023855116276536137
0,train,6,0.005216229008510709
0,test,6,0.01943126879632473
0,train,7,0.004156591545324773
0,test,7,0.01636152053833939
0,train,8,0.0034651399473659694
0,test,8,0.01418436347739771
0,train,9,0.0028738074470311403
0,test,9,0.012039223773172125
0,train,10,0.0024391152837779373
0,test,10,0.010377749553299509
0,train,11,0.002173666172893718
0,test,11,0.009155871666735038
0,train,12,0.0018455652461852878
0,test,12,0.007627432263689116
0,train,13,0.0015798638196429238
0,test,13,0.006866739808174316
0,train,14,0.0013728978228755295
0,test,14,0.005916871268709656
0,train,15,0.0012365290021989495
0,test,15,0.005215739001869224
0,train,16,0.0010716888209572062
0,test,16,0.004553582104563247
0,train,17,0.0009499882289674133
0,test,17,0.004084249543666374
0,train,18,0.0008191700908355415
0,test,18,0.0036727847764268517
0,train,19,0.0007524302636738867
0,test,19,0.0033003313146764413
0,train,20,0.00066530369076645
0,test,20,0.002922226984082954
